hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-60,8,10,2,29,-88,-81,-82,-85,-75,-73,-70,-65,-63,-63,-68,-62,-61,-70,-59,-59,-61,-65,-57,-56,-57,-56,-57,-56,-56,-56,-55,-55,-55,1m,-64.34482758620689,-61.0,-56.0,33.841269841269835
HDOK,PLOK,17472,2,2,-53,8,10,2,29,-55,-48,-50,-51,-55,-52,-51,-48,-50,-48,-59,-48,-48,-50,-49,-53,-52,-57,-48,-48,-49,-48,-50,-48,-47,-52,-49,-48,-49,1m,-50.3448275862069,-49.0,-48.0,2.5079365079365084
HDOK,PLOK,17472,3,3,-53,9,10,2,29,-55,-48,-49,-48,-57,-50,-49,-48,-49,-48,-49,-48,-48,-48,-48,-49,-55,-55,-47,-48,-48,-48,-51,-49,-49,-53,-50,-49,-53,1m,-49.86206896551724,-49.0,-48.0,2.154195011337868
HDOK,PLOK,17472,4,4,-54,8,10,2,29,-57,-50,-52,-57,-54,-55,-53,-50,-51,-50,-59,-50,-50,-53,-50,-52,-53,-58,-50,-50,-51,-50,-51,-51,-50,-53,-51,-50,-51,1m,-52.13793103448276,-51.0,-50.0,2.154195011337868
HDOK,PLOK,17472,5,5,-55,8,10,2,29,-56,-51,-50,-50,-57,-51,-50,-50,-51,-50,-50,-59,-54,-50,-51,-51,-58,-53,-51,-54,-51,-53,-58,-51,-53,-59,-56,-53,-52,1m,-52.86206896551724,-51.0,-51.0,4.126984126984128
HDOK,PLOK,17472,6,6,-55,7,10,2,29,-57,-51,-52,-51,-58,-53,-52,-50,-51,-50,-52,-51,-51,-51,-50,-52,-57,-57,-51,-51,-51,-51,-53,-51,-51,-56,-53,-51,-55,1m,-52.41379310344828,-51.0,-51.0,1.895691609977324
HDOK,PLOK,17472,7,7,-55,7,10,2,29,-56,-51,-51,-51,-57,-51,-50,-50,-53,-51,-50,-56,-58,-51,-51,-51,-57,-53,-51,-53,-51,-53,-58,-51,-52,-59,-56,-53,-50,1m,-52.93103448275862,-51.0,-51.0,3.9637188208616796
HDOK,PLOK,17472,8,8,-54,8,10,2,29,-57,-51,-51,-50,-58,-51,-50,-50,-51,-51,-51,-55,-51,-50,-50,-51,-57,-53,-51,-51,-51,-51,-56,-50,-58,-58,-55,-51,-50,1m,-52.41379310344828,-51.0,-51.0,4.02721088435374
HDOK,PLOK,17472,9,9,-55,8,10,2,29,-56,-50,-51,-50,-58,-52,-50,-52,-51,-50,-51,-51,-51,-50,-50,-51,-58,-55,-50,-51,-49,-50,-54,-50,-53,-56,-53,-51,-53,1m,-51.96551724137931,-51.0,-50.0,1.9591836734693875
HDOK,PLOK,17472,10,10,-54,7,10,2,29,-57,-51,-51,-51,-57,-53,-52,-51,-51,-50,-53,-50,-50,-51,-50,-55,-55,-58,-51,-51,-51,-50,-52,-51,-51,-54,-51,-51,-57,1m,-52.275862068965516,-51.0,-51.0,1.8956916099773242
HDOK,PLOK,17472,11,11,-55,6,10,2,29,-56,-50,-51,-51,-58,-52,-51,-50,-51,-51,-51,-51,-50,-50,-50,-52,-57,-57,-50,-50,-50,-50,-53,-50,-51,-56,-52,-51,-50,1m,-51.793103448275865,-51.0,-50.0,1.8367346938775515
HDOK,PLOK,17472,12,12,-55,7,10,2,29,-57,-51,-52,-52,-55,-53,-53,-50,-51,-50,-58,-50,-50,-52,-50,-58,-54,-57,-51,-50,-51,-50,-51,-51,-50,-53,-51,-51,-57,1m,-52.37931034482759,-51.0,-51.0,3.07482993197279
HDOK,PLOK,17472,13,13,-55,7,10,2,29,-57,-50,-51,-51,-58,-52,-51,-51,-51,-50,-51,-51,-51,-51,-50,-52,-57,-57,-51,-51,-51,-50,-53,-50,-51,-56,-52,-51,-51,1m,-52.03448275862069,-51.0,-51.0,1.3877551020408159
HDOK,PLOK,17472,14,14,-55,6,10,2,29,-57,-50,-51,-52,-57,-53,-53,-51,-51,-51,-55,-51,-51,-51,-51,-57,-56,-59,-51,-51,-51,-51,-52,-51,-51,-53,-51,-51,-51,1m,-52.44827586206897,-51.0,-51.0,1.9637188208616774
HDOK,PLOK,17472,15,15,-55,7,10,2,29,-57,-51,-51,-51,-57,-52,-51,-51,-51,-51,-51,-52,-51,-51,-51,-51,-59,-55,-51,-51,-52,-51,-55,-51,-57,-57,-53,-52,-53,1m,-52.6551724137931,-51.0,-51.0,2.7120181405895685
HDOK,PLOK,17472,16,16,-55,6,10,2,29,-57,-51,-53,-52,-57,-55,-53,-51,-51,-51,-57,-51,-51,-52,-51,-57,-56,-59,-51,-51,-52,-51,-53,-52,-51,-54,-52,-51,-52,1m,-52.93103448275862,-52.0,-51.0,2.91156462585034
HDOK,PLOK,17472,17,17,-55,6,10,2,29,-55,-51,-52,-63,-55,-55,-53,-51,-51,-51,-58,-51,-51,-52,-51,-54,-54,-59,-51,-51,-52,-51,-52,-51,-52,-54,-51,-51,-57,1m,-53.10344827586207,-52.0,-51.0,2.2222222222222223
HDOK,PLOK,17472,18,18,-55,7,10,2,29,-57,-51,-52,-52,-57,-53,-53,-51,-51,-51,-55,-51,-51,-51,-51,-57,-56,-59,-51,-51,-51,-51,-53,-51,-51,-53,-52,-51,-57,1m,-52.793103448275865,-51.0,-51.0,3.0385487528344672
HDOK,PLOK,17472,19,19,-55,6,10,2,29,-51,-51,-52,-51,-58,-53,-52,-51,-51,-51,-53,-51,-51,-51,-51,-52,-57,-58,-51,-51,-51,-51,-53,-51,-51,-55,-52,-51,-51,1m,-52.172413793103445,-51.0,-51.0,0.5351473922902493
