hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-119,-3,10,2,29,-118,-118,-119,-117,-117,-118,-117,-117,-116,-116,-118,-117,-116,-117,-118,-118,-118,-118,-117,-116,-119,-118,-117,-117,-116,-118,-116,-118,-117,366,0.41269841269841273
HDOK,PLOK,17472,2,2,-118,-3,10,2,29,-116,-118,-117,-118,-118,-116,-116,-117,-116,-115,-116,-108,-117,-116,-115,-117,-118,-119,-115,-116,-118,-116,-117,-112,-116,-117,-118,-117,-117,366,0.6167800453514739
HDOK,PLOK,17472,3,3,-117,-2,10,2,29,-117,-115,-115,-115,-118,-116,-117,-115,-116,-114,-115,-115,-114,-115,-113,-116,-117,-117,-115,-114,-115,-116,-116,-115,-117,-117,-116,-116,-115,366,0.5215419501133787
HDOK,PLOK,17472,4,4,-118,-2,10,2,29,-116,-117,-117,-115,-118,-116,-119,-117,-117,-117,-118,-116,-117,-115,-116,-117,-118,-117,-115,-115,-117,-117,-118,-117,-117,-118,-118,-115,-116,366,0.5351473922902494
HDOK,PLOK,17472,5,5,-119,-3,10,2,29,-118,-116,-116,-116,-119,-116,-117,-118,-117,-115,-116,-117,-115,-116,-116,-117,-118,-118,-116,-116,-117,-115,-119,-114,-118,-119,-116,-117,-117,366,0.5850340136054419
HDOK,PLOK,17472,6,6,-120,-3,10,2,29,-117,-116,-117,-116,-117,-117,-117,-114,-117,-115,-116,-115,-116,-116,-116,-117,-118,-117,-117,-117,-116,-116,-118,-116,-117,-119,-118,-117,-116,366,0.2448979591836735
HDOK,PLOK,17472,7,7,-118,-2,10,2,29,-118,-115,-116,-117,-118,-117,-116,-116,-116,-117,-115,-116,-118,-117,-116,-116,-117,-118,-116,-116,-115,-116,-118,-114,-118,-118,-117,-116,-118,366,0.603174603174603
HDOK,PLOK,17472,8,8,-118,-3,10,2,29,-116,-114,-117,-118,-117,-116,-115,-118,-116,-117,-118,-117,-117,-117,-116,-115,-117,-117,-114,-115,-118,-116,-117,-116,-116,-116,-118,-116,-118,366,0.5306122448979591
HDOK,PLOK,17472,9,9,-120,-4,10,2,29,-116,-116,-118,-117,-117,-118,-118,-115,-116,-117,-117,-117,-116,-117,-118,-116,-119,-118,-116,-117,-117,-116,-119,-117,-118,-117,-118,-117,-118,366,0.46712018140589573
HDOK,PLOK,17472,10,10,-118,-2,10,2,29,-116,-117,-114,-117,-119,-116,-116,-116,-117,-117,-116,-114,-113,-114,-117,-118,-118,-119,-115,-115,-116,-115,-117,-116,-116,-117,-116,-116,-118,366,0.5850340136054422
HDOK,PLOK,17472,11,11,-117,-2,10,2,29,-118,-117,-118,-117,-119,-117,-116,-116,-117,-115,-118,-117,-118,-116,-116,-116,-117,-118,-116,-114,-116,-117,-117,-114,-118,-117,-118,-116,-114,366,0.5351473922902492
HDOK,PLOK,17472,12,12,-116,-1,10,2,29,-118,-115,-118,-116,-118,-118,-117,-115,-117,-116,-117,-118,-115,-116,-116,-109,-118,-118,-116,-115,-117,-117,-117,-115,-115,-116,-117,-115,-115,366,0.9977324263038548
HDOK,PLOK,17472,13,13,-119,-3,10,2,29,-116,-117,-116,-117,-117,-117,-117,-117,-117,-116,-118,-116,-114,-117,-115,-118,-117,-119,-116,-116,-117,-115,-116,-117,-115,-118,-117,-115,-118,366,0.42630385487528344
