hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-117,-2,10,2,29,-117,-117,-117,-115,-118,-116,-117,-116,-116,-116,-116,-117,-118,-115,-116,-116,-119,-116,-116,-116,-115,-117,-118,-114,-117,-118,-117,-118,-116,370,-116.55172413793103,-116.0,-116.0,0.43537414965986393
HDOK,PLOK,17472,2,2,-120,-4,10,2,29,-118,-117,-118,-116,-118,-118,-117,-117,-116,-118,-117,-117,-115,-117,-116,-118,-118,-118,-117,-117,-115,-119,-118,-117,-117,-119,-116,-117,-118,370,-117.20689655172414,-117.0,-117.0,0.39455782312925175
HDOK,PLOK,17472,3,3,-120,-4,10,2,29,-115,-117,-118,-116,-118,-117,-116,-118,-117,-117,-117,-117,-118,-117,-117,-117,-119,-116,-118,-118,-116,-116,-119,-115,-119,-118,-118,-118,-114,370,-117.10344827586206,-117.0,-118.0,0.5351473922902494
HDOK,PLOK,17472,4,4,-118,-2,10,2,29,-117,-116,-116,-116,-118,-116,-115,-116,-116,-114,-117,-114,-116,-116,-116,-118,-117,-116,-115,-114,-114,-115,-116,-116,-115,-117,-116,-115,-118,370,-115.89655172413794,-116.0,-116.0,0.3718820861678005
HDOK,PLOK,17472,5,5,-119,-3,10,2,29,-116,-116,-116,-116,-119,-117,-118,-115,-117,-114,-115,-114,-116,-116,-116,-116,-117,-117,-115,-117,-117,-114,-118,-115,-117,-117,-117,-117,-118,370,-116.3103448275862,-116.0,-117.0,0.507936507936508
HDOK,PLOK,17472,6,6,-118,-2,10,2,29,-117,-116,-116,-116,-117,-116,-116,-115,-117,-118,-119,-115,-115,-116,-115,-117,-117,-118,-116,-116,-115,-116,-116,-116,-117,-117,-116,-117,-116,370,-116.34482758620689,-116.0,-116.0,0.2993197278911565
HDOK,PLOK,17472,7,7,-119,-4,10,2,29,-117,-116,-117,-118,-117,-117,-118,-116,-116,-117,-118,-118,-116,-116,-118,-118,-118,-118,-115,-117,-116,-117,-118,-115,-115,-117,-116,-118,-118,370,-116.93103448275862,-117.0,-118.0,0.6167800453514738
HDOK,PLOK,17472,8,8,-119,-3,10,2,29,-107,-117,-115,-117,-118,-117,-116,-117,-115,-117,-117,-117,-116,-116,-115,-117,-118,-118,-116,-118,-101,-117,-118,-117,-116,-117,-116,-113,-116,370,-115.6896551724138,-117.0,-117.0,0.5351473922902494
HDOK,PLOK,17472,9,9,-120,-4,10,2,29,-117,-115,-117,-118,-118,-117,-117,-115,-116,-118,-118,-109,-118,-118,-117,-118,-118,-118,-116,-116,-117,-116,-118,-118,-116,-118,-118,-117,-116,370,-116.82758620689656,-117.0,-118.0,0.6303854875283447
HDOK,PLOK,17472,10,10,-113,0,10,2,29,-116,-114,-115,-115,-117,-115,-115,-115,-116,-114,-115,-116,-114,-113,-113,-114,-118,-118,-112,-113,-113,-115,-115,-113,-116,-116,-115,-114,-117,370,-114.89655172413794,-115.0,-115.0,0.8208616780045349
HDOK,PLOK,17472,11,11,-113,0,10,2,29,-117,-114,-115,-115,-117,-116,-116,-116,-113,-113,-114,-115,-115,-113,-114,-115,-118,-116,-113,-115,-116,-117,-118,-113,-117,-117,-116,-115,-115,370,-115.3103448275862,-115.0,-115.0,1.0793650793650793
HDOK,PLOK,17472,12,12,-119,-3,10,2,29,-116,-116,-116,-116,-118,-118,-116,-115,-116,-114,-117,-118,-115,-116,-115,-119,-118,-118,-116,-116,-118,-116,-117,-118,-118,-119,-118,-117,-116,370,-116.75862068965517,-116.0,-116.0,0.8208616780045349
