hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-88,8,10,2,29,-90.0,-85.04950446035188,-85.52262771056311,-85.68148953054657,-87.7632247861399,-87.60996821755563,-87.33962922865342,-87.14604431611747,-87.12749324156714,-86.88603611192008,-86.79501220442926,-86.72029486551273,-86.65781396425791,-86.60475099253206,-86.55909236733059,-86.59042481812874,-86.95405351157785,-87.34016440884318,-87.25853250305246,-87.1851572163323,-87.11880929862924,-87.05849380587537,-87.10750129541461,-87.00132647854993,-86.95239302147938,-87.04965410676077,-87.0473572841725,-87.00009628640382,-86.95600162398034,12,-86.96837750540269,-87.00132647854993,-90.0,0.6492998344155464,-1.136838388393094,7.007978639498514
HDOK,PLOK,17472,2,2,-88,7,10,2,29,-93.0,-86.06930624449262,-86.03480803352109,-86.02322447980931,-87.76918604637518,-87.4139310971407,-87.17650982446568,-87.00649669949392,-87.00567146534686,-86.89153406615506,-86.7999453450286,-87.00671227058594,-87.00613002470892,-86.92496992177026,-86.85513480698373,-86.79436591282017,-87.2787247063488,-87.38865011659598,-87.3040648562009,-87.22803493047918,-87.15928661643181,-87.09678897398396,-87.29995978127191,-87.23446848501112,-87.51622213371732,-87.77670092301217,-87.8332863926847,-87.79568513956842,-87.67242221564048,12,-87.3228352244705,-87.17650982446568,-93.0,1.3740232427454577,-3.98729902082309,19.54035207972536
HDOK,PLOK,17472,3,3,-86,8,10,2,29,-89.0,-84.04950446035188,-84.02486288108649,-84.01658891414951,-86.26471778789146,-86.01076074676858,-85.50520665741915,-85.14318842036676,-85.12500011197116,-84.99731966035709,-84.89486341587468,-84.81076179736442,-84.74043347735586,-84.6807059513248,-84.62931273612094,-84.6556550799508,-85.21655739463435,-85.4581785240815,-85.43027001832927,-85.34688204668163,-85.27148038860835,-85.2029343314208,-85.34852781487196,-85.28058968639134,-85.21800901786177,-85.3976531347777,-85.47177200861039,-85.4504837470179,-85.56289298205532,12,-85.24845217909298,-85.21800901786177,-89.0,0.7669438837031833,-2.6034674088434593,11.143271929157128
HDOK,PLOK,17472,4,4,-87,8,10,2,29,-91.0,-85.05940535242226,-85.02983545730379,-85.0199066969794,-87.01695191713331,-86.81274659772369,-86.50835792904017,-86.29039065009414,-86.2535041847949,-86.11123932747475,-85.99707993331074,-85.90337173752583,-85.82501010671153,-85.75846015437757,-85.70119650645204,-85.7224305361358,-86.21162478645302,-86.38969815472989,-86.30504905638354,-86.22896174956884,-86.16016154998609,-86.09761673949225,-86.24869223763109,-86.18578377349904,-86.22557340816776,-86.49985797697946,-86.56924921788281,-86.54356239026177,-86.60777733197823,12,-86.28563777449976,-86.22557340816776,-91.0,1.019397622249913,-3.4949044841178285,16.583397442988026
HDOK,PLOK,17472,5,5,-87,8,10,2,29,-90.0,-85.04950446035188,-85.52262771056311,-85.34870561430617,-87.26346779824662,-87.21056310827193,-87.00729051995374,-86.71722431997236,-86.62611990603256,-86.44156550308492,-86.39620277242054,-86.26498396198977,-86.15525481938128,-86.06206547232,-85.98187966040915,-85.98316735562376,-86.38761556451614,-86.80990075879252,-86.69965633858753,-86.600562536189,-86.51095924139719,-86.42950277577114,-86.4591984240027,-86.38568476791394,-86.36683688019923,-86.53941169154875,-86.56071687051084,-86.53541505692101,-86.51180838373129,12,-86.51130663010376,-86.4591984240027,-90.0,0.6606082414273208,-2.5266463357939193,11.430424102874797
HDOK,PLOK,17472,6,6,-87,8,10,2,29,-91.0,-85.05940535242226,-85.52760028678041,-85.68480731337647,-87.01495218085573,-87.21275111426955,-87.17702685555918,-86.86243267949341,-86.75288337721821,-86.55394211592547,-86.70249795613962,-86.54249271837737,-86.40869149357675,-86.3757241405764,-86.2718571379739,-86.60785563882563,-86.83587373277473,-87.22953191821398,-87.09372698390585,-86.97165797306566,-86.91726225041884,-86.813901814003,-86.82358863811572,-86.7317171929547,-86.64709053947553,-86.75885345594342,-86.77000803842618,-86.735262160648,-86.92329623087446,12,-86.79333418242035,-86.75885345594342,-91.0,0.8636991654202428,-2.9827590356828138,14.70902696713449
HDOK,PLOK,17472,7,7,-87,8,10,2,29,-90.0,-86.0396035682815,-85.52212547539258,-85.34837051492255,-87.51346992587513,-87.20956311924714,-86.83854271458364,-86.57286164180348,-86.62711829305061,-86.44245057944282,-86.29426532340538,-86.36059212533684,-86.32931310051636,-86.22208323417097,-86.12981610101524,-86.1205909112102,-86.58302103826378,-86.73737601268746,-86.69246106881727,-86.65208902491392,-86.55960115482159,-86.52943281474786,-86.65803132662467,-86.57450057253057,-86.69303141601787,-86.99261166542539,-87.0392098711519,-87.03744056314113,-86.94760895886364,12,-86.66438559021591,-86.58302103826378,-90.0,0.5964874566418821,-2.6471438726507244,11.675179679344458
HDOK,PLOK,17472,8,8,-87,8,10,2,29,-91.0,-85.05940535242226,-85.02983545730379,-85.0199066969794,-87.01695191713331,-86.81274659772369,-86.50835792904017,-86.29039065009414,-86.38052778313484,-86.22384654467027,-86.09811883090516,-86.08889736499309,-86.08118609596995,-85.99397154845641,-85.91892681938226,-85.9246881654206,-86.40028676820464,-86.56631165950714,-86.47090470422309,-86.38514763863388,-86.30760378177827,-86.23711029685514,-86.3809248453625,-86.31135457137061,-86.34500773269265,-86.56611930568695,-86.58618908529473,-86.55973786232545,-86.49096836938426,12,-86.38122153017063,-86.34500773269265,-91.0,0.9800751352479379,-3.42322952197606,16.635446122639344
HDOK,PLOK,17472,9,9,-87,8,10,2,29,-89.0,-85.0396035682815,-85.0198903048692,-85.01327113131961,-87.01197692412357,-87.00957194157229,-86.84004893178079,-86.574150201071,-86.50121957654338,-86.33084057705234,-86.2968527952061,-86.17497115705713,-86.07305004064173,-85.98649179308121,-85.91201178461354,-85.91826453740151,-86.25985602371847,-86.69030029631718,-86.58734096264402,-86.49479540027342,-86.4111132011242,-86.33503947867517,-86.36965215142888,-86.30064978988221,-86.23708881149963,-86.36832676074896,-86.39754572085036,-86.37960684964567,-86.4951410766521,12,-86.3458162685543,-86.36832676074896,-89.0,0.4947539532000031,-1.288892009811431,6.6533981765505015
HDOK,PLOK,17472,10,10,-86,8,10,2,29,-89.0,-83.05940535242226,-84.02536511625702,-84.01692401353311,-85.76446229299992,-85.81175858290372,-85.67545154768283,-85.28883184517531,-85.12511978654605,-84.88393202914682,-84.99858747757122,-84.90473759880985,-84.82625748840046,-84.75960691524833,-84.70225668701876,-84.79447890203559,-85.21161064587119,-85.58127323079873,-85.48495493839059,-85.3983787124237,-85.32009414861139,-85.24892730261489,-85.3400745275987,-85.27256227132517,-85.25924252547938,-85.43692805574126,-85.46297376363451,-85.44208251444881,-85.42259091198717,12,-85.22478859257504,-85.27256227132517,-89.0,0.8356676516650293,-1.917765507712335,10.226876218518756
HDOK,PLOK,17472,11,11,-87,8,10,2,29,-90.0,-86.0396035682815,-85.52212547539258,-85.34837051492255,-87.26321655861211,-87.0095609663575,-86.67212406924456,-86.57499788210635,-86.62898318042329,-86.44410381380372,-86.29574871835511,-86.92583189494216,-87.45272652622224,-87.25487581860004,-87.08463297295171,-87.00755513001826,-87.41036400601647,-87.44801979459032,-87.35981821672786,-87.45544451825674,-87.37396527500705,-87.46162550968067,-87.74991020880688,-87.61137116569947,-87.58149429204059,-87.83887266166323,-87.93883873517899,-87.94159857887695,-87.85599268766288,12,-87.19144043932559,-87.35981821672786,-90.0,0.7204142018946202,-0.5832567970970918,3.4660649812793385
HDOK,PLOK,17472,12,12,-87,8,10,2,29,-91.0,-86.04950446035188,-86.02486288108649,-86.01658891414951,-87.76421105336543,-87.8115577925274,-87.50736874293652,-87.1450380708261,-86.99959121483356,-86.77265016244012,-86.79600617502662,-86.72119542013787,-86.57189289663687,-86.52576080116107,-86.48606592564656,-86.52258789284562,-86.89077654741534,-87.28092848696508,-87.20290475130803,-87.07447043010265,-87.01431902175918,-86.90572621285979,-86.96268559508265,-86.8638065177249,-86.82159347327054,-86.9250675213649,-86.92853363163756,-86.88663443777493,-86.97981360693154,12,-87.01559112545407,-86.90572621285979,-91.0,0.7458330780234953,-3.441592296356764,15.630583668920147
HDOK,PLOK,17472,13,13,-88,8,10,2,29,-91.0,-86.04950446035188,-86.02486288108649,-86.01658891414951,-87.76421105336543,-87.61075644098929,-87.34028509697364,-87.1466054073093,-87.12798306093677,-86.99996406333766,-86.89723615510584,-87.18884206566335,-87.17246124299974,-87.07788392909741,-86.9965038256547,-86.92568875062764,-87.33400064000016,-87.4403959759438,-87.41357063826013,-87.33115627817806,-87.25663498600065,-87.18888925088274,-87.38726603410069,-87.3173762943251,-87.64394698552843,-87.89835885971952,-87.94931686541577,-87.90647984796604,-87.8224223562464,12,-87.35273077104195,-87.3173762943251,-91.0,0.7231383078739355,-2.486835384866532,11.37772622318546
HDOK,PLOK,17472,14,14,-88,7,10,2,29,-93.0,-86.06930624449262,-86.5325728629977,-87.02090901244677,-88.26694329799088,-88.41414207450838,-88.34460110564724,-88.00579138855511,-87.87803214720152,-87.66488728601543,-88.21297195163756,-88.0049910245498,-87.83107107562373,-87.76403221147048,-87.70634787392302,-88.08253345678214,-88.27864396668818,-88.58016284678777,-88.42300033072343,-88.2817339402578,-88.20997942801796,-88.14474891419191,-88.13721441155948,-88.07992214220434,-87.9782791885465,-88.02681080424179,-87.97931418406456,-87.9351235662426,-88.1584360808468,12,-88.10387940752467,-88.07992214220434,-93.0,1.139024194600014,-3.106647841161889,15.713564556700865
HDOK,PLOK,17472,15,15,-88,7,10,2,29,-92.0,-87.04950446035188,-87.52262771056311,-87.34870561430617,-88.7629610637206,-88.81055880249265,-88.6744532292756,-88.2879777901041,-88.12437421662315,-87.99676480020263,-88.30529195764223,-88.08863455346518,-87.99420257665355,-87.91400460871553,-87.76949749728885,-88.14119544527749,-88.33336272830996,-88.69524988785385,-88.59198906535785,-88.44087025008301,-88.36020690900396,-88.23296713463661,-88.22084067759901,-88.15933536054557,-88.05381159139569,-88.09875542703743,-88.04793090418465,-88.00064402236042,-87.95652521003015,12,-88.27528425845107,-88.14119544527749,-92.0,0.6464191632884565,-3.4129293630357465,16.014967507818778
HDOK,PLOK,17472,16,16,-87,7,10,2,29,-93.0,-86.06930624449262,-87.03033769247432,-87.02024179636302,-88.01618968771577,-88.21374012807956,-88.17784979839307,-87.86313670187296,-87.7534979721418,-87.55448695818275,-87.6002552258174,-87.44985902888583,-87.32409317499108,-87.37861561855948,-87.27453030972659,-87.4682117945657,-87.63839721694734,-88.04466679993385,-87.92012234368339,-87.80817487537101,-87.76293132507922,-87.6678909355386,-87.63312572821334,-87.55084970518678,-87.52393043262333,-87.59404355959539,-87.56656521479977,-87.54099950025602,-87.47305618951454,12,-87.75583123996566,-87.59404355959539,-93.0,1.1419074010495505,-4.130199151593212,20.86345002130538
HDOK,PLOK,17472,17,17,-87,7,10,2,29,-90.0,-85.04950446035188,-86.02039254003972,-87.67752581190526,-88.25873279785739,-88.40758025389849,-88.33914111793672,-87.85661406684308,-87.62078026734413,-87.32333815640119,-87.70104751048332,-87.44719595808442,-87.23491760330342,-87.29663344971244,-87.1987377844962,-87.25567830238128,-87.37293065557635,-87.73229089763444,-87.62677383836568,-87.47362699227975,-87.39112985092042,-87.2622230073918,-87.24857371716737,-87.18567122403452,-87.12772909108993,-87.16916185438383,-87.11508058031272,-87.0647636334461,-87.32645068052817,12,-87.4408353829024,-87.32645068052817,-90.0,0.6168619215233011,-0.17514839746292207,5.513544470068645
HDOK,PLOK,17472,18,18,-87,8,10,2,29,-91.0,-86.04950446035188,-85.52709805160988,-86.35004004647368,-87.51370818248179,-87.61135623668137,-87.67661563799939,-87.43433405388916,-87.25213978114266,-87.11002977507331,-88.12604224085182,-87.83224856538892,-87.58656939784802,-87.53925341329246,-87.42303997080873,-87.81935841206567,-87.96593995032744,-88.28742897547656,-88.14809742376774,-87.96455623549352,-87.85457570832014,-87.75459473047722,-87.71531639795961,-87.62889965182778,-87.54929755112195,-87.6182057430154,-87.58960974144813,-87.51788011911297,-87.75958907133995,12,-87.627769983643,-87.6182057430154,-91.0,0.7515438842336087,-1.313258190380932,8.200346273584355
HDOK,PLOK,17472,19,19,-88,7,10,2,29,-91.0,-86.04950446035188,-86.02486288108649,-86.01658891414951,-87.51395768610242,-87.61155563963776,-87.50886582783009,-87.1463188174658,-87.00070927642652,-86.88713505453185,-87.10419305109605,-87.00041808265107,-86.91363831171496,-86.83993911021369,-86.77652381119164,-87.07665891904125,-87.34038376678997,-87.70182254335982,-87.59816136819701,-87.44668269372946,-87.36569395824081,-87.29206880680239,-87.27686597639784,-87.21253813399046,-87.15328305185986,-87.24100188485262,-87.22985399379075,-87.17435800618965,-87.1225800718535,12,-87.2284884172257,-87.17435800618965,-91.0,0.6905126409859697,-3.0763617980668263,14.71144943901003
HDOK,PLOK,17472,20,20,-87,8,10,2,29,-91.0,-84.06930624449262,-84.5325728629977,-84.68812509620636,-86.76819977914964,-86.81474557678322,-86.67793697830385,-86.43546445214652,-86.2531265921458,-86.11090458922135,-86.09951118331635,-85.99617622912487,-85.90976441143124,-85.83637770050086,-85.77323128747202,-85.78934627165776,-86.13960357348851,-86.57772750080225,-86.48162518540046,-86.39524309155155,-86.317134067248,-86.24612680051692,-86.28536757574297,-86.1702319483766,-86.11304431174145,-86.25017435981454,-86.28485863026039,-86.2720046564612,-86.21592144058462,12,-86.22427077230826,-86.24612680051692,-91.0,1.1915037513976734,-2.5380886804580856,12.806103035827347
HDOK,PLOK,17472,21,21,-86,8,10,2,29,-89.0,-84.04950446035188,-84.52262771056311,-85.01427344678697,-86.51222167224415,-86.61016821970853,-86.50771137753142,-86.14533119255083,-85.99984710318206,-85.65938328559511,-85.89983858579927,-85.62730412505606,-85.4861460615777,-85.4469307877742,-85.33768769210793,-85.45581746519177,-85.6940554822539,-86.16063334537584,-86.02902515123625,-85.91072840333877,-85.80376128614064,-85.70651973575558,-85.7738482577714,-85.68448270704819,-85.60216433836709,-85.71606124398583,-85.72919524217936,-85.6962910028769,-85.84195291058919,12,-85.81460387217032,-85.71606124398583,-89.0,0.6302822606243356,-1.8295994512848694,8.787456497582733
HDOK,PLOK,17472,22,22,-86,8,10,2,29,-93.0,-87.05940535242226,-86.53207062782718,-86.35500608058236,-88.01793818435885,-87.61273346961926,-87.17401442116487,-87.00436189778301,-87.00380783383102,-86.77638822164708,-86.49116541724223,-87.10288281826087,-87.18070190698413,-86.92412861342525,-86.7033572644734,-86.51124716656902,-86.94741759319365,-86.95077565140856,-86.83195027957821,-86.783445699718,-86.62762179410373,-86.53987599984855,-86.77203536496492,-86.63238166802157,-86.74808394144499,-87.04504920251406,-87.18173472928375,-87.17353412308664,-87.07770209698438,12,-87.12968335932213,-86.94741759319365,-93.0,1.3458625772879274,-4.688804730125149,23.74273542102353
HDOK,PLOK,17472,23,23,-86,8,10,2,29,-89.0,-83.05940535242226,-84.52312994573364,-85.347392462411,-86.51172316524591,-86.81057116512737,-86.84237924626213,-86.43163743351835,-86.12276209685477,-85.8818419224374,-86.81856489136942,-86.55366874628712,-86.33215456867224,-86.22469549353438,-86.05673125869883,-86.40801736295853,-86.58224902220394,-86.99210438450453,-86.80984974349172,-86.6460291587478,-86.55388053436577,-86.41619973116407,-86.44658783242832,-86.37370949137063,-86.30657818518493,-86.38701551777652,-86.36911355475219,-86.3073336123829,-86.42605439656656,12,-86.32901311298187,-86.41619973116407,-89.0,0.8323252760121582,1.0545600184762647,7.206035332852361
HDOK,PLOK,17472,24,24,-86,8,10,2,29,-89.0,-83.05940535242226,-83.52760028678041,-83.68480731337647,-85.51545891538176,-85.21115271697263,-85.00778112407892,-84.86215036551724,-85.13370771879895,-85.00503900846346,-84.90178974299864,-85.47491558939211,-85.95418077648735,-85.79654557121022,-85.66090660259968,-85.54287672388973,-85.90970157430179,-85.97933105319967,-85.91967817796646,-85.98266337957985,-85.87166917144573,-85.87858754186797,-86.14516844068125,-85.9867164938547,-85.98736564065311,-86.22546517001744,-86.44631819026793,-86.47130255345493,-86.45052262728538,12,-85.60664854561882,-85.87166917144573,-89.0,1.1069624582455375,-0.24025711991582518,3.71493940295901
HDOK,PLOK,17472,25,25,-86,8,10,2,29,-91.0,-84.06930624449262,-84.03480803352109,-84.02322447980931,-86.2696927809012,-86.01473675445807,-85.6764307611067,-85.434175892879,-85.50604890699299,-85.33512180880736,-85.19796260911006,-85.36732282487185,-85.42220346056432,-85.30748053566948,-85.20876591680396,-85.19393027475125,-85.71865002440505,-85.86434335591899,-85.81169459511351,-85.76437096739535,-85.72157966397967,-85.68267899248237,-85.95945736662249,-85.86074092573206,-86.20962676357796,-86.53216867585319,-86.60006533860667,-86.61811200847316,-86.50267835796377,12,-85.78990959727113,-85.71865002440505,-91.0,1.4221928026581592,-2.7136814050880895,12.294870781652504
HDOK,PLOK,17472,26,26,-87,7,10,2,29,-91.0,-85.05940535242226,-85.52760028678041,-85.35202339713607,-87.26595529475149,-86.81094840904048,-86.67477741475544,-86.43276146555245,-86.3777905469751,-86.22141996763432,-86.19867314007342,-86.18000131559353,-86.07764386559606,-85.99071505429426,-85.91591619012691,-85.99295500759591,-86.39674529586071,-86.81844744019314,-86.70768242573395,-86.60812068433171,-86.57407664311798,-86.4892174910906,-86.56785707781182,-86.48886925537543,-86.46497888272128,-86.53789220122553,-86.55926766641217,-86.53403124677406,-86.51048558635094,12,-86.4943537450113,-86.48886925537543,-91.0,0.9245743235264507,-3.523076277445533,16.903479462392244
HDOK,PLOK,17472,27,27,-85,9,10,2,29,-89.0,-84.04950446035188,-84.52262771056311,-84.34870561430617,-86.51372116550962,-85.80816120654727,-85.50454249717154,-85.14262023548359,-84.99748050163645,-84.77077900194293,-84.69159564177865,-84.5326150322077,-84.39967063252654,-84.28676533219128,-84.1896147086284,-84.17614001894627,-84.63483616527323,-84.91360762449207,-84.7970462262844,-84.69227437352477,-84.59753683210972,-84.51141293115607,-84.58889719590107,-84.50884938328115,-84.43511397519563,-84.50944587321648,-84.53213716448451,-84.46300093732852,-84.57485828422402,12,-84.85150209400905,-84.57485828422402,-89.0,0.863498034892077,-3.4121197453227414,13.583579243934205
HDOK,PLOK,17472,28,28,-86,8,10,2,29,-91.0,-85.05940535242226,-85.52760028678041,-86.35037514585729,-87.01345268759026,-86.40834731512602,-86.50769510775073,-86.14531727385655,-85.87281135415047,-85.66025902020722,-86.41428235510661,-86.1873817465855,-86.08438409213552,-86.15824281765767,-86.07079562805934,-86.20789169214292,-86.32835623521633,-86.75442589448113,-86.58664869219005,-86.43584123272956,-86.3554594279943,-86.2284755923797,-86.21658293009729,-86.1552921161439,-86.0988345687003,-86.09413993857062,-86.04352891181833,-85.95131662017612,-86.26209601050957,12,-86.35100827746328,-86.20789169214292,-91.0,0.9000462763968687,-4.155466900258195,20.636448518205967
HDOK,PLOK,17472,29,29,-86,8,10,2,29,-90.0,-86.0396035682815,-86.0198903048692,-86.01327113131961,-87.76172355686056,-87.40796708560646,-87.00363153405067,-86.71409408071862,-86.75041087937242,-86.55175023106648,-86.39233644693147,-86.63741152928796,-86.58212021912185,-86.37383188894846,-86.19460787468932,-86.0386513020199,-86.3721504556758,-86.41224666747172,-86.26531223808108,-86.13323941947945,-85.95783323008718,-85.79837516250133,-85.96502684967174,-85.81565034231315,-86.1667396953714,-86.30131921917825,-86.37989415773144,-86.31762775094256,-86.17135215956864,12,-86.50131272349029,-86.31762775094256,-90.0,0.6251863666542608,-3.2490608126210856,12.907008347321879
HDOK,PLOK,17472,30,30,-86,9,10,2,29,-95.0,-93.01980178414075,-91.01888583452815,-90.34703310007158,-91.511453734542,-91.00715043032056,-90.67011830012652,-90.42877562251141,-90.62835819673943,-90.3300560383732,-90.09068565331552,-90.2701280396646,-90.85390072158138,-90.5430234277948,-90.27552559684062,-90.04275520005775,-90.24153958268653,-90.0983886531862,-89.90966003976315,-90.08983383749599,-89.86087521906971,-89.86837549612888,-90.03138351038518,-89.6771460737844,-89.39971170084438,-89.47572520264023,-89.54623273995563,-89.38621237236661,-89.14873202219484,12,-90.44039545279689,-90.24153958268653,-95.0,1.2910484852345057,-2.63794758133337,8.66778648838871
