hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-78,9,11,2,33,-89,-80,-83,-80,-80,-87,-82,-80,-93,-80,-80,-81,-81,-80,-80,-81,-81,-81,-82,-79,-78,-79,-78,-87,-77,-77,-77,-80,-80,-77,-77,-78,-77,340,-80.66666666666667,-80.0,-80.0,2.1536
HDOK,PLOK,17472,2,2,-81,8,11,2,33,-78,-77,-81,-77,-79,-87,-82,-80,-85,-80,-80,-81,-81,-80,-79,-80,-80,-81,-83,-80,-80,-81,-80,-88,-80,-80,-80,-82,-80,-79,-81,-89,-83,340,-81.03030303030303,-80.0,-80.0,1.0464000000000002
HDOK,PLOK,17472,3,3,-78,9,11,2,33,-87,-77,-81,-77,-77,-83,-81,-78,-81,-78,-77,-78,-85,-78,-77,-78,-79,-79,-78,-79,-77,-78,-78,-87,-78,-77,-77,-79,-80,-79,-77,-77,-77,340,-79.06060606060606,-78.0,-77.0,1.5904000000000003
HDOK,PLOK,17472,4,4,-79,10,11,2,33,-72,-78,-79,-78,-83,-87,-80,-78,-79,-78,-78,-80,-78,-77,-79,-79,-79,-81,-89,-79,-78,-80,-79,-85,-78,-78,-78,-79,-80,-77,-79,-83,-79,340,-79.51515151515152,-79.0,-79.0,1.3184
HDOK,PLOK,17472,5,5,-79,9,11,2,33,-87,-78,-79,-77,-82,-87,-80,-77,-79,-78,-78,-80,-78,-78,-79,-79,-79,-81,-85,-79,-78,-81,-78,-85,-78,-79,-79,-80,-80,-78,-79,-78,-78,340,-79.72727272727273,-79.0,-78.0,1.1936000000000002
HDOK,PLOK,17472,6,6,-78,9,11,2,33,-78,-79,-81,-78,-78,-84,-81,-79,-89,-79,-78,-79,-81,-78,-78,-78,-79,-80,-79,-79,-78,-79,-78,-87,-78,-78,-78,-81,-79,-78,-80,-78,-78,340,-79.54545454545455,-79.0,-78.0,0.9856
HDOK,PLOK,17472,7,7,-79,9,11,2,33,-88,-79,-80,-79,-89,-88,-80,-79,-80,-79,-79,-81,-79,-79,-80,-80,-79,-83,-81,-79,-79,-81,-79,-85,-79,-79,-79,-79,-80,-79,-79,-85,-80,340,-80.72727272727273,-79.0,-79.0,1.9935999999999998
HDOK,PLOK,17472,8,8,-79,9,11,2,33,-79,-78,-81,-78,-79,-86,-81,-78,-91,-78,-79,-80,-80,-79,-79,-79,-79,-81,-84,-80,-79,-80,-79,-87,-78,-79,-79,-80,-80,-79,-79,-80,-79,340,-80.21212121212122,-79.0,-79.0,0.5696000000000001
HDOK,PLOK,17472,9,9,-78,10,11,2,33,-87,-78,-80,-78,-72,-85,-81,-77,-85,-78,-78,-79,-79,-78,-78,-78,-79,-80,-84,-78,-77,-79,-78,-87,-77,-77,-78,-80,-78,-78,-77,-77,-77,340,-79.15151515151516,-78.0,-78.0,2.2399999999999998
HDOK,PLOK,17472,10,10,-81,9,11,2,33,-78,-78,-80,-78,-81,-87,-80,-78,-80,-79,-78,-80,-78,-79,-79,-79,-79,-81,-91,-79,-77,-80,-79,-87,-78,-79,-79,-81,-81,-79,-78,-80,-78,340,-79.93939393939394,-79.0,-79.0,0.9024
