hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-78,8,11,2,33,-80.0,-80.99009910792962,-81.99055708273593,-81.6609156174834,-81.74577262599448,-83.20243128705947,-83.16843988967095,-82.85508658459013,-83.63563559810281,-83.4500012238307,-83.19830867795116,-83.0856884752445,-82.99151205158367,-82.83086549582973,-82.69263537715165,-82.50128721436039,-82.3331520519641,-82.18415049629942,-82.05110982877375,-81.81492097826714,-81.54537025840447,-81.30032738360859,-81.02443356535473,-81.12396157269633,-80.87356057060583,-80.59456714972197,-80.33578234743061,-80.2755064439778,-80.13108799859742,-79.909707250745,-79.70213168757833,-79.54855517722541,-79.36319251287483,28,-81.63971980556501,-81.74577262599448,-83.63563559810281,1.5740851046868445,0.18996716189296622,-1.1895790515770184
HDOK,PLOK,17472,2,2,-81,10,11,2,33,-91.0,-82.08910802863338,-83.53804767438552,-82.69342622969864,-82.51989398076806,-83.6203066760019,-83.18031596706757,-82.28722114624766,-81.86966648771217,-81.31698990595469,-80.7707670253991,-80.4163804181969,-80.03328810139045,-79.7079404132675,-79.42799137029046,-79.25544974362968,-79.10383964194098,-79.09720815464642,-79.57858189890246,-79.42824475170562,-79.29230583935808,-79.2765475052458,-79.15804814884737,-79.45236263837009,-79.33251902646454,-79.22172465316281,-79.16521201074347,-79.15775697644992,-79.15080140555531,-79.10115008874666,-79.01231639852958,-78.97032220897094,-78.9307796503066,28,-80.61080345959367,-79.42824475170562,-91.0,5.633758006194189,-2.7610405229982016,10.072726747557788
HDOK,PLOK,17472,3,3,-79,9,11,2,33,-76.0,-76.0,-77.49329448842984,-76.99635010046994,-76.99726350011751,-78.6042238052972,-78.67068085403942,-78.57376322064374,-79.51707053848192,-79.23139883082783,-78.89943205849637,-78.72091843559484,-78.48489643372233,-78.2037850998534,-77.96189972073599,-77.6803531588959,-77.43296182674739,-77.2775861422724,-77.3215897134662,-77.1279335329534,-76.95282437969922,-76.84754677352662,-76.75137785850313,-77.0661801853029,-76.96520878230561,-76.9193614812,-76.87683508500535,-76.88239278423627,-77.01984938678244,-77.10528296806858,-77.18538895705295,-77.75846412965616,-77.84981117173334,28,-77.5568462243672,-77.2775861422724,-76.0,0.746501068228567,-0.5103270809598514,-0.3650996234713113
HDOK,PLOK,17472,4,4,-74,9,11,2,33,-82.0,-76.05940535242226,-79.01642443416348,-80.34209431160215,-83.00927109809531,-84.61382026137233,-83.83908726302182,-82.56178314176901,-81.60125823723529,-80.73856313681891,-79.9435681635878,-79.47895861938471,-79.00369454509021,-78.60006841886398,-78.32826369813367,-78.23387259694823,-78.1509323539113,-78.20515616672508,-78.37539530081355,-78.2369043910848,-78.05569479020419,-77.94487139574844,-77.73953207364178,-77.80303379083459,-77.47057882326463,-77.16322710716322,-76.78562522010897,-76.52455440430413,-76.23688407912381,-75.92464877737189,-75.58960569866053,-75.31624733834137,-75.0180957172567,28,-78.72457941536568,-78.23387259694823,-84.61382026137233,5.908769981824731,-0.7571237794996108,0.016590485360909124
HDOK,PLOK,17472,5,5,-77,8,11,2,33,-74.0,-74.0,-74.99552965895323,-74.6642334003133,-75.49902022428837,-76.80442574957311,-76.6693500124156,-76.28361202041856,-76.1205630027126,-75.87989241167769,-75.68676805628044,-75.62222378723366,-75.48150641006451,-75.36199977593945,-75.3346688375917,-75.31088609011685,-75.28998849669038,-75.39919457007215,-75.86217376030821,-75.81190708327621,-75.76645459511565,-75.77904512881362,-75.738494098731,-76.00356602381837,-75.95452312323005,-75.86168350988282,-75.77556864413167,-75.7856958948504,-75.75105423512031,-75.67550501510945,-75.64694560682457,-75.9519743117537,-76.40220331801943,28,-75.64153505616142,-75.75105423512031,-74.0,0.3487059858221488,1.0131970558158845,2.295664289091864
HDOK,PLOK,17472,6,6,-77,9,11,2,33,-81.0,-72.08910802863338,-73.04028284490892,-72.36130952954201,-71.26987713409787,-72.82209625312659,-72.51613763022867,-72.00803346151298,-71.87998942398454,-71.55312870069643,-71.29084170410806,-71.16952500411767,-70.98133280111531,-70.82150736091856,-70.6839837802698,-70.70644100695958,-70.72617388237043,-70.93524949066257,-71.54831215667863,-71.6329488358852,-71.65349723241344,-71.83390864271946,-71.94665851117003,-72.40276113691046,-72.52968465199915,-72.64702433400562,-72.75586462963976,-72.9022531417711,-73.03883409286948,-73.16659357062835,-73.24410743299407,-73.31694758989616,-73.63004724673065,28,-72.30619579525953,-72.00803346151298,-81.0,3.082188996481805,-3.741670019254937,18.173632773813985
HDOK,PLOK,17472,7,7,-78,10,11,2,33,-68.0,-67.00990089207038,-68.00050223517053,-67.33476726690279,-67.50124399837394,-69.00700433835489,-69.17374392999788,-69.14863683112837,-70.90808682275164,-70.80502466800166,-70.72232319576797,-70.74841999249068,-70.85698642910693,-71.02985394895154,-71.25409960875714,-71.59136002223923,-71.95492585177809,-72.46870658137675,-73.17109910260976,-73.56923944472592,-73.87326632775958,-74.20356118754104,-74.40117426385319,-74.93513758049005,-75.03604458607327,-75.12933223209448,-75.21586267770623,-75.34149421697663,-75.5027992629706,-75.56739597597559,-75.58568586971649,-75.81028929829614,-75.85877237410413,28,-72.14293154588223,-71.95492585177809,-75.85877237410413,8.080987977432882,0.28118885000502997,-1.2432240784751247
HDOK,PLOK,17472,8,8,-78,9,11,2,33,-81.0,-73.079207136563,-74.03531026869162,-73.3579917467121,-73.01814973938203,-74.21931335641264,-74.18248719402084,-73.72259762762148,-75.15509385688829,-74.68351678369422,-74.30510321064774,-74.0884635454099,-73.90730289745477,-73.6727835046958,-73.47098868039197,-73.29539151328828,-73.20831600224618,-73.19501236505785,-73.30495751775459,-73.22887554784865,-73.16008017404306,-73.20536061481023,-73.19467113847446,-73.63827901731177,-73.65595582758002,-73.6722978844031,-73.73371266776192,-73.88110076602943,-74.01861433419725,-74.10410120181663,-74.22653575711836,-74.34158810964259,-74.4499236781337,28,-73.98221465654862,-73.72259762762148,-81.0,1.7978418401140075,-4.507932649817564,23.373434573320857
HDOK,PLOK,17472,9,9,-75,10,11,2,33,-71.0,-71.99009910792962,-72.99055708273593,-72.6609156174834,-72.74577262599448,-74.40323263859756,-74.6713549960991,-74.71884628172855,-75.51670102874962,-75.34456498160294,-75.2064356696547,-75.18703430221893,-75.17081029129268,-75.07636615243453,-74.91960076452159,-74.78318716663874,-74.66332229781261,-74.68482346887487,-74.8258451757868,-74.71939427924256,-74.56715612437588,-74.53658049262879,-74.45659806352889,-74.7862512427646,-74.65009095089555,-74.52421194936727,-74.40745087156147,-74.43418908540708,-74.3709550904086,-74.22551526183899,-74.1737021887465,-74.0420466593977,-73.91807721154136,28,-74.3142936097534,-74.56715612437588,-75.51670102874962,0.9418256422693859,1.8611061816310892,3.5789119090914965
HDOK,PLOK,17472,10,10,-77,9,11,2,33,-82.0,-74.079207136563,-75.03531026869162,-74.69077566295252,-74.51790672727532,-75.81951981723445,-76.0177410091487,-75.72616464725571,-76.90416058417337,-76.57455658591479,-76.31006826839197,-76.18694460529863,-76.08398487001605,-75.91587893696624,-75.77123031398826,-75.64536044340059,-75.53476021174254,-75.50060894269424,-75.5919396396787,-75.49912596405306,-75.41520132965113,-75.39281764655102,-75.32031839304705,-75.6568372710547,-75.57586989706351,-75.50101626643102,-75.43158458613316,-75.41210974362193,-75.43803007024394,-75.37598627515177,-75.36009010073207,-75.46960218301051,-75.61347291120377,28,-75.76873276694954,-75.53476021174254,-82.0,1.489732775977334,-4.10965909019038,21.014336707371324
