hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-90,7,12,2,58,-101,-103,-101,-101,-102,-101,-103,-101,-93,-90,-90,-89,-88,-91,-88,-88,-88,-88,-94,-89,-88,-93,-89,-88,-87,-89,-88,-88,-93,-86,-85,-84,-85,-86,-89,-94,-85,-85,-86,-88,-88,-88,-85,-85,-95,-86,-86,-86,-87,-86,-86,-95,-88,-88,-88,-89,-89,-101,340,24.395061728395067
HDOK,PLOK,17472,2,2,-92,6,12,2,58,-91,-94,-91,-98,-99,-91,-100,-99,-92,-92,-93,-93,-94,-99,-94,-97,-95,-96,-100,-95,-94,-97,-95,-93,-92,-94,-94,-94,-100,-95,-97,-96,-96,-95,-97,-100,-90,-91,-92,-93,-94,-94,-92,-92,-99,-92,-92,-92,-93,-91,-91,-99,-90,-89,-93,-94,-89,-103,340,7.825788751714676
HDOK,PLOK,17472,3,3,-95,4,12,2,58,-96,-97,-97,-103,-103,-97,-103,-101,-97,-95,-96,-94,-94,-97,-95,-97,-95,-95,-101,-95,-95,-97,-95,-95,-95,-98,-96,-95,-101,-96,-95,-97,-99,-97,-97,-101,-96,-95,-95,-96,-101,-98,-95,-95,-100,-95,-95,-95,-95,-95,-94,-99,-95,-99,-95,-95,-98,-101,340,4.812414266117971
HDOK,PLOK,17472,4,4,-94,4,12,2,58,-94,-103,-94,-101,-99,-95,-100,-100,-94,-95,-95,-95,-95,-99,-95,-97,-96,-96,-101,-95,-95,-98,-95,-95,-95,-95,-95,-95,-99,-95,-96,-96,-97,-96,-98,-103,-95,-95,-95,-95,-100,-97,-94,-95,-101,-95,-95,-97,-95,-93,-94,-98,-94,-93,-94,-94,-94,-101,340,4.595336076817558
HDOK,PLOK,17472,5,5,-106,-6,12,2,58,-88,-93,-87,-95,-94,-87,-97,-97,-89,-89,-91,-91,-94,-97,-97,-99,-98,-96,-98,-93,-92,-99,-99,-99,-97,-98,-97,-98,-100,-99,-98,-96,-95,-96,-99,-100,-98,-101,-102,-102,-103,-103,-104,-101,-103,-100,-100,-101,-103,-101,-102,-101,-101,-101,-101,-103,-103,-103,340,14.920438957475994
HDOK,PLOK,17472,6,6,-90,5,12,2,58,-92,-97,-92,-98,-99,-91,-99,-99,-91,-91,-91,-92,-91,-94,-90,-93,-92,-92,-97,-93,-92,-97,-93,-91,-89,-91,-90,-91,-95,-90,-90,-89,-89,-89,-94,-97,-88,-88,-88,-91,-88,-89,-88,-88,-97,-89,-89,-90,-92,-92,-90,-100,-92,-99,-93,-97,-101,-102,340,11.396776406035665
HDOK,PLOK,17472,7,7,-104,-4,12,2,58,-103,-101,-102,-101,-103,-101,-102,-103,-102,-100,-101,-102,-102,-101,-100,-101,-102,-101,-103,-101,-101,-101,-101,-101,-103,-103,-103,-102,-103,-105,-103,-101,-100,-101,-103,-101,-103,-100,-100,-103,-101,-102,-103,-100,-103,-99,-100,-101,-101,-101,-100,-103,-101,-102,-101,-100,-98,-103,340,1.1358024691358026
HDOK,PLOK,17472,8,8,-89,6,12,2,58,-93,-101,-92,-99,-99,-91,-99,-97,-89,-89,-91,-89,-89,-92,-90,-91,-89,-88,-95,-89,-88,-92,-89,-89,-88,-90,-89,-89,-95,-89,-89,-89,-90,-89,-93,-95,-86,-86,-87,-88,-90,-89,-88,-87,-97,-88,-89,-89,-89,-89,-89,-97,-88,-88,-88,-89,-87,-102,340,10.469135802469138
HDOK,PLOK,17472,9,9,-92,4,12,2,58,-92,-103,-92,-99,-99,-93,-100,-99,-96,-96,-99,-101,-100,-101,-102,-103,-101,-100,-103,-101,-100,-101,-101,-98,-96,-94,-93,-91,-95,-88,-88,-87,-89,-89,-93,-95,-88,-89,-90,-93,-88,-93,-90,-89,-99,-89,-89,-90,-92,-91,-94,-100,-94,-94,-97,-93,-94,-103,340,21.098765432098762
HDOK,PLOK,17472,10,10,-95,3,12,2,58,-95,-96,-96,-101,-101,-97,-101,-100,-97,-98,-98,-98,-97,-99,-97,-98,-97,-96,-101,-97,-95,-99,-98,-97,-97,-96,-97,-98,-101,-95,-99,-97,-98,-98,-100,-101,-97,-98,-96,-98,-99,-96,-97,-98,-103,-98,-98,-97,-98,-96,-96,-101,-97,-99,-96,-96,-101,-102,340,2.735253772290809
