hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-95,8,12,2,58,-92,-107,-92,-101,-100,-93,-101,-100,-93,-93,-93,-93,-93,-95,-93,-94,-92,-92,-98,-93,-91,-95,-92,-90,-90,-91,-90,-90,-96,-90,-90,-90,-93,-92,-95,-99,-90,-91,-91,-93,-97,-93,-91,-91,-100,-91,-91,-91,-92,-91,-90,-99,-91,-92,-92,-92,-93,-117,354,-93.8103448275862,-92.0,-93.0,7.6099999999999985
HDOK,PLOK,17472,2,2,-93,7,12,2,58,-92,-92,-90,-100,-97,-90,-99,-97,-90,-91,-92,-92,-92,-94,-91,-91,-89,-89,-97,-89,-90,-94,-90,-89,-89,-90,-89,-89,-95,-89,-89,-89,-91,-90,-93,-99,-89,-89,-90,-92,-95,-92,-90,-91,-100,-91,-90,-90,-90,-89,-89,-97,-89,-90,-94,-96,-91,-117,354,-92.24137931034483,-91.0,-89.0,6.886399999999998
HDOK,PLOK,17472,3,3,-93,7,12,2,58,-91,-93,-91,-100,-99,-91,-100,-99,-91,-91,-92,-91,-91,-94,-91,-92,-91,-91,-97,-91,-91,-95,-93,-92,-91,-92,-92,-91,-97,-91,-91,-91,-93,-93,-97,-100,-91,-91,-91,-93,-93,-93,-91,-91,-99,-91,-91,-92,-92,-92,-91,-100,-91,-99,-91,-91,-95,-117,354,-93.5,-92.0,-91.0,7.0543999999999984
HDOK,PLOK,17472,4,4,-95,7,12,2,58,-92,-101,-92,-100,-99,-92,-101,-100,-92,-92,-93,-92,-92,-95,-92,-93,-92,-92,-97,-92,-92,-95,-93,-93,-92,-93,-92,-92,-97,-92,-92,-92,-93,-93,-97,-101,-92,-91,-92,-94,-93,-93,-92,-92,-100,-92,-89,-93,-94,-92,-92,-100,-92,-93,-92,-92,-93,-117,354,-94.13793103448276,-92.0,-92.0,6.049600000000001
HDOK,PLOK,17472,5,5,-94,7,12,2,58,-91,-96,-91,-100,-99,-91,-100,-100,-91,-91,-92,-91,-91,-94,-91,-93,-91,-92,-96,-91,-91,-95,-93,-92,-91,-92,-91,-92,-96,-91,-91,-91,-92,-93,-97,-100,-91,-91,-92,-94,-92,-93,-91,-91,-100,-91,-93,-92,-93,-92,-91,-100,-91,-92,-95,-91,-98,-117,354,-93.63793103448276,-92.0,-91.0,7.04
HDOK,PLOK,17472,6,6,-95,7,12,2,58,-96,-98,-97,-106,-103,-97,-106,-105,-98,-98,-99,-98,-98,-101,-99,-100,-98,-99,-105,-99,-99,-103,-100,-99,-98,-99,-98,-98,-103,-97,-97,-96,-98,-98,-101,-105,-95,-95,-96,-97,-95,-96,-94,-94,-103,-94,-94,-94,-94,-93,-93,-100,-93,-99,-92,-95,-97,-115,354,-98.39655172413794,-98.0,-98.0,7.793599999999999
HDOK,PLOK,17472,7,7,-99,6,12,2,58,-92,-94,-92,-101,-99,-92,-100,-100,-92,-92,-92,-92,-91,-95,-93,-93,-91,-92,-97,-92,-92,-97,-93,-93,-92,-93,-92,-92,-97,-92,-92,-92,-93,-93,-99,-101,-93,-94,-94,-97,-95,-95,-95,-95,-104,-95,-95,-97,-97,-97,-97,-106,-97,-97,-101,-99,-98,-116,354,-95.5,-94.5,-92.0,7.5936
HDOK,PLOK,17472,8,8,-98,6,12,2,58,-93,-97,-93,-101,-85,-93,-100,-101,-93,-93,-93,-93,-93,-97,-94,-94,-93,-93,-99,-93,-93,-99,-94,-94,-93,-94,-93,-93,-98,-93,-93,-93,-93,-94,-99,-101,-93,-93,-93,-95,-94,-94,-93,-93,-103,-93,-94,-95,-95,-94,-94,-103,-93,-95,-94,-96,-94,-116,354,-95.08620689655173,-94.0,-93.0,5.1663999999999985
HDOK,PLOK,17472,9,9,-94,6,12,2,58,-93,-109,-93,-100,-100,-93,-101,-100,-92,-92,-93,-92,-92,-95,-93,-94,-92,-92,-98,-92,-92,-97,-94,-93,-93,-93,-92,-93,-98,-92,-92,-92,-93,-93,-97,-101,-92,-92,-92,-94,-94,-93,-92,-92,-101,-92,-93,-94,-94,-93,-93,-101,-93,-93,-98,-95,-97,-117,354,-94.93103448275862,-93.0,-92.0,7.079999999999999
HDOK,PLOK,17472,10,10,-95,6,12,2,58,-94,-95,-93,-103,-100,-93,-103,-101,-94,-94,-95,-93,-94,-97,-94,-95,-93,-94,-101,-94,-95,-99,-96,-95,-95,-95,-95,-95,-101,-95,-95,-94,-96,-95,-99,-103,-94,-94,-93,-95,-95,-95,-94,-94,-105,-94,-94,-95,-95,-94,-94,-101,-94,-99,-94,-93,-103,-118,354,-96.37931034482759,-95.0,-94.0,6.931600000000002
HDOK,PLOK,17472,11,11,-95,6,12,2,58,-93,-95,-93,-101,-100,-92,-101,-101,-92,-92,-93,-92,-92,-95,-92,-94,-92,-93,-97,-92,-92,-97,-94,-93,-92,-94,-93,-100,-96,-92,-92,-92,-92,-93,-99,-100,-92,-92,-92,-95,-93,-93,-92,-92,-100,-92,-92,-93,-94,-93,-92,-100,-92,-92,-97,-92,-92,-116,354,-94.5,-93.0,-92.0,6.745600000000001
HDOK,PLOK,17472,12,12,-94,6,12,2,58,-93,-101,-93,-101,-100,-93,-101,-101,-93,-93,-93,-93,-93,-97,-93,-94,-93,-93,-100,-93,-93,-97,-94,-94,-93,-94,-93,-93,-98,-93,-93,-93,-93,-93,-97,-103,-93,-93,-93,-95,-94,-95,-93,-93,-101,-93,-94,-94,-94,-94,-93,-101,-93,-93,-97,-92,-97,-117,354,-95.29310344827586,-93.0,-93.0,6.6975999999999996
HDOK,PLOK,17472,13,13,-95,6,12,2,58,-92,-106,-92,-100,-99,-92,-100,-99,-92,-92,-92,-92,-92,-95,-91,-93,-92,-92,-98,-91,-91,-95,-93,-92,-91,-93,-92,-92,-97,-91,-92,-91,-93,-93,-95,-100,-91,-91,-92,-93,-93,-93,-91,-91,-99,-91,-92,-92,-92,-92,-91,-100,-92,-92,-91,-95,-91,-116,354,-93.86206896551724,-92.0,-92.0,6.454399999999998
HDOK,PLOK,17472,14,14,-94,7,12,2,58,-91,-92,-91,-99,-99,-92,-99,-99,-92,-92,-93,-91,-92,-94,-92,-93,-91,-91,-98,-91,-91,-95,-92,-92,-91,-92,-92,-91,-98,-91,-91,-91,-93,-93,-95,-101,-91,-91,-91,-93,-95,-93,-91,-91,-100,-91,-91,-92,-92,-91,-91,-99,-91,-91,-94,-92,-92,-116,354,-93.44827586206897,-92.0,-91.0,5.92
HDOK,PLOK,17472,15,15,-93,7,12,2,58,-91,-93,-91,-100,-99,-91,-100,-99,-91,-91,-92,-92,-91,-94,-91,-92,-91,-91,-97,-91,-91,-95,-93,-91,-91,-92,-92,-91,-97,-91,-91,-91,-93,-93,-95,-99,-91,-91,-91,-93,-95,-93,-91,-91,-100,-91,-92,-92,-92,-92,-91,-99,-92,-97,-92,-92,-92,-117,354,-93.46551724137932,-92.0,-91.0,5.92
HDOK,PLOK,17472,16,16,-95,6,12,2,58,-91,-103,-92,-101,-99,-92,-101,-99,-92,-92,-93,-91,-92,-94,-92,-93,-91,-92,-99,-91,-92,-95,-93,-92,-92,-93,-92,-92,-98,-92,-92,-92,-94,-93,-95,-37,-92,-92,-92,-93,-99,-93,-92,-92,-100,-92,-92,-92,-93,-92,-92,-99,-93,-92,-92,-98,-92,-117,354,-93.1896551724138,-92.0,-92.0,6.2084
HDOK,PLOK,17472,17,17,-94,6,12,2,58,-93,-109,-92,-100,-99,-92,-100,-99,-92,-92,-93,-92,-92,-96,-92,-93,-92,-92,-99,-93,-92,-95,-93,-93,-92,-93,-93,-92,-99,-96,-93,-92,-95,-94,-97,-101,-92,-92,-93,-94,-101,-94,-92,-93,-101,-92,-93,-93,-94,-93,-92,-99,-92,-92,-98,-93,-95,-115,354,-94.91379310344827,-93.0,-92.0,7.1716000000000015
HDOK,PLOK,17472,18,18,-93,7,12,2,58,-92,-95,-92,-101,-99,-93,-100,-99,-91,-91,-92,-91,-91,-94,-91,-93,-92,-92,-97,-91,-91,-95,-92,-90,-89,-91,-90,-90,-95,-89,-89,-89,-92,-92,-95,-99,-91,-91,-91,-93,-96,-93,-91,-91,-100,-91,-91,-92,-93,-92,-91,-99,-91,-97,-92,-92,-91,-115,354,-93.25862068965517,-92.0,-91.0,6.192400000000001
HDOK,PLOK,17472,19,19,-94,7,12,2,58,-95,-95,-93,-101,-100,-93,-101,-100,-93,-93,-93,-94,-94,-97,-93,-94,-93,-93,-99,-93,-92,-97,-93,-92,-91,-92,-91,-91,-97,-91,-91,-92,-93,-93,-95,-100,-91,-90,-91,-92,-96,-92,-90,-90,-99,-91,-91,-92,-92,-91,-91,-99,-90,-90,-93,-91,-91,-116,354,-93.91379310344827,-93.0,-93.0,6.795600000000002
HDOK,PLOK,17472,20,20,-102,6,12,2,58,-99,-102,-99,-109,-106,-98,-106,-107,-98,-98,-99,-98,-98,-101,-98,-100,-98,-99,-104,-99,-99,-105,-101,-101,-100,-101,-85,-100,-105,-100,-100,-100,-101,-101,-106,-109,-100,-100,-100,-103,-100,-101,-99,-100,-107,-99,-100,-101,-101,-101,-100,-111,-101,-101,-105,-104,-113,-116,354,-101.60344827586206,-100.5,-100.0,7.17
