hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-115.0,-115.0,-115.49776482947661,-115.33211670015665,-115.49925674488118,-115.59980666728262,-115.6670054229801,-115.71512524948773,-115.87833466371391,-115.66515546880241,-115.90501778338982,-115.91394446203698,-115.92140922102297,-115.92774879498971,-115.93320375203923,-115.93795052890962,-115.94212146051575,-115.9458177444401,-116.01002994557324,-116.0094451770985,-115.95293403696205,-116.00938181549215,-115.9047890269183,-115.95996518493449,-115.96192163165422,-115.96373034957222,-115.96540805475725,-115.92184493774717,-115.96938124415738,-115.97070229011656,-115.97194095635835,-115.93162167197217,-116.056664187663,-116.1345504156472,-116.24761462339724,-116.27687080713709,-116.38131590291545,-116.36687750919356,-116.3905630632656,-116.3761161784577,-116.39895000186321,-116.420730243449,-116.47742630201043,-116.38926211497993,-116.44611414746775,-116.36044043936852,-116.38267906274447,-116.33492637225062,-116.32343275219516,-116.34651189735229,-116.36867892072375,-116.35623868062484,-116.41142996966214,-116.36425905078424,-116.41868882265092,-116.40481371100013,-116.42446224561822,-116.44339376582951,point1,-116.05323943113261,-115.99066138592525,-115.0,0.1185960593156241,1.0587107018540343,1.299752361450667
HDOK,PLFL,17472,2,1,-138,-23,12,2,58,-115.0,-118.9603964317185,-117.48681520670097,-116.99202701948923,-116.74376891744616,-116.39361776205284,-116.3275231481052,-116.13568764092257,-115.9914285101824,-115.9924013204775,-116.09591354504585,-116.18088196903771,-116.251935138037,-116.23161263375346,-116.21412590852759,-116.19890936656634,-116.05109987818781,-116.11169926955684,-116.22671917779715,-116.27180319581554,-116.31256938360046,-116.29571863306171,-116.28032582109003,-116.36696210995493,-116.39789780683314,-116.42649758861354,-116.4067693252478,-116.4335382932203,-116.5026042432681,-116.43777439603261,-116.46154450907805,-116.48388140097026,-116.46416227209993,-116.48563791165374,-116.46647572990246,-116.40945244803356,-116.43210278566296,-116.45360601569212,-116.39922560055274,-116.34746839928944,-116.37135071651366,-116.43036806109865,-116.45081794664382,-116.43477468524293,-116.38413338737767,-116.37067934160658,-116.32301838315402,-116.3463988584142,-116.30019468279876,-116.28995440486307,-116.31403991956246,-116.33718609803711,-116.39301710074822,-115.87857233441017,-115.8826128764896,-115.91964245611318,-115.85627042965628,-115.89389183557167,point1,-116.34999145226865,-116.34693362885182,-118.9603964317185,0.21375716175336726,-2.94926477422949,18.222008045687627
HDOK,PLFL,17472,3,1,-139,-24,12,2,58,-116.0,-116.99009910792962,-115.50173293535286,-116.00033211670015,-115.7499956361146,-116.00099820181131,-115.8329148577926,-116.00156605645549,-116.00136713032931,-116.00121196961777,-116.10381906210235,-116.18804450479918,-116.17173286536037,-116.23854554787376,-116.22053538848857,-116.13379984078287,-116.05758643383766,-116.11777157578736,-116.17150974935473,-116.16151034369481,-116.20845098747165,-116.25112373678468,-116.2380521882592,-116.27643872189884,-116.31179817308518,-116.39198755687913,-116.4201120526038,-116.3560308516959,-116.34033330293855,-116.45508459985541,-116.47812286166747,-116.54125529449671,-116.60070204070159,-116.61670535402197,-116.59237154523733,-116.56933743092749,-116.58585541082827,-116.60153685130986,-116.57903293804675,-116.55761457327361,-116.53720616989013,-116.51773943634407,-116.53505267434251,-116.51601175110147,-116.49779878354757,-116.48036367418526,-116.53320413189782,-116.51478920643419,-116.53144011532075,-116.58153581070123,-116.52788840513014,-116.54381874793935,-116.55913558928312,-116.50702825134745,-116.49015673384706,-116.50705265238982,-116.52332603301605,-116.53900556536897,point1,-116.34585471600441,-116.46660373076145,-116.99009910792962,0.06935028040185767,0.7563531975801511,0.8692181878542793
HDOK,PLOK,17472,4,2,-135,-19,12,2,58,-115.0,-115.99009910792962,-116.99055708273593,-116.9936995337238,-117.24552961388775,-117.19622693557646,-117.33119307663047,-117.28333357834491,-117.247343527693,-117.10577786628637,-117.1976427368942,-117.27305038375246,-117.16262153144763,-117.14950356467574,-117.06271618759756,-116.98719582869904,-116.92083706349115,-116.92589262799278,-116.86949478659221,-116.87710353521733,-116.82800119472637,-116.83727372464355,-116.89779621098737,-116.80218622698096,-116.86072174970619,-116.91483732961163,-116.91877665221323,-116.9224417782562,-116.92586135260365,-116.92906006391202,-116.9743379081903,-116.9754024555487,-116.93565286673864,-116.89815318601941,-116.8627140776261,-116.82916780951022,-116.79736523785567,-116.80503793247767,-116.81233159943685,-116.7452936526534,-116.6814168126403,-116.65672431975962,-116.66904797630335,-116.64523856132001,-116.69305574004375,-116.66878187071902,-116.64552713564962,-116.58869663164825,-116.56849441416796,-116.54910186280198,-116.56439681538784,-116.5453525155925,-116.52704164043045,-116.54284822020516,-116.59133538376696,-116.57173886236743,-116.48683956109015,-116.50371926558721,point1,-116.81002739945428,-116.86171791366614,-117.33119307663047,0.11946397604062446,2.5350564428366433,12.108361702415024
HDOK,PLFL,17472,5,2,-139,-24,12,2,58,-116.0,-116.0,-116.0,-116.3327839162404,-115.99925025336726,-116.20020215504253,-116.33450079421706,-116.28616330977981,-116.37683741479864,-116.44756245692162,-116.4015836495941,-116.45782439283977,-116.41811110033878,-116.38438390891228,-116.27986309487059,-116.25997503669124,-116.24249965651015,-116.16315018523288,-116.15321240411977,-116.20258203302335,-116.19124100934317,-116.23484155601396,-116.37877419752351,-116.35969175086375,-116.39098274025854,-116.46741086663268,-116.44579010036546,-116.47079829310525,-116.53822143421638,-116.55814486649105,-116.61910448710742,-116.51045548125784,-116.57115738107106,-116.58834480373636,-116.56513003859739,-116.54315519862806,-116.59903220042888,-116.53848540364633,-116.55575098666654,-116.46121403841208,-116.51753280433056,-116.49877897429673,-116.51677289617588,-116.3916214746742,-116.37779894215157,-116.39959116794132,-116.38569667236153,-116.4069124681774,-116.39294851164082,-116.44776844963687,-116.46650074121763,-116.45075972403207,-116.46920113548552,-116.48694078301793,-116.43746238141789,-116.45610456110678,-116.4740598610813,-116.42557269609469,point1,-116.38845235933978,-116.42184189821674,-116.0,0.02370343106986527,1.053736000956062,0.7034888454131911
HDOK,PLOK,17472,6,3,-132,-17,12,2,58,-116.0,-116.99009910792962,-116.4972625943061,-116.33178160077304,-116.24875213798367,-116.39960372401666,-116.33250397289471,-116.28445504179206,-116.24832253881769,-116.22013948926524,-116.09479260723342,-116.17986637991046,-116.16426413968868,-116.0703480502128,-116.0650367811153,-116.13147856366375,-115.9882017370809,-115.92509243564825,-116.05147891308336,-116.04847757621016,-116.0457636862785,-116.04329654617563,-116.04104286473728,-115.93821618897297,-115.89236684553757,-115.84997952767014,-115.8106624941744,-115.72895807736248,-115.7849988459032,-115.8805650517687,-115.88561459451631,-115.84887640948638,-115.85503499617872,-115.86084499425814,-115.82687798335596,-115.8724943314875,-115.91573959427087,-115.9567947365172,-115.95841107556576,-115.92295955515945,-115.96237867530473,-115.99997894682372,-115.9999797026364,-116.03556743190993,-116.03431205646166,-116.06813470822765,-116.0657655432454,-116.09803059307812,-116.0603496354357,-116.09240310422403,-116.15711085452686,-116.15180950247608,-116.28101718702005,-116.3384667244158,-116.32720414240167,-116.34950021800087,-116.33796237302806,-116.32684556714186,point1,-116.084108150989,-116.04997824464675,-116.99009910792962,0.04542586326093233,-1.4071760179625157,4.143854151986821
HDOK,PLFL,17472,7,3,-135,-20,12,2,58,-116.0,-116.0,-116.0,-116.0,-116.25025336726301,-116.40080350442774,-116.5014180215346,-116.2844536032001,-116.50236847964074,-116.67234025727541,-116.60326966685898,-116.73453805883445,-116.58407814808719,-116.53696312173987,-116.42092259598533,-116.53313740335484,-116.49730019786402,-116.33781568671516,-116.31723870516679,-116.29874297232406,-116.33800100739296,-116.37368965915032,-116.35423828201014,-116.2860124631713,-116.27203542482462,-116.2116138950913,-116.29433828326893,-116.28105654917586,-116.2245742315738,-116.30117496118086,-116.24616310170502,-116.277434717624,-116.26612870144119,-116.25546262891682,-116.24538264708572,-116.23584104774986,-116.18844060235881,-116.18130536464844,-116.17452260447124,-116.20505692265539,-116.12435298606906,-116.11984680840182,-116.15144446085283,-116.18164201272286,-116.13993519579066,-116.20508287062277,-116.19795177447259,-116.22565159412468,-116.21790794088427,-116.24458676138161,-116.23629011384675,-116.32954528145979,-116.28490417873259,-116.27538249349716,-116.29949435888054,-116.3558481575894,-116.41012557457641,-116.4624222998376,point1,-116.29569882326744,-116.27640860556059,-116.0,0.02441414668232207,-0.5691417175435803,0.6512507967962544
HDOK,PLOK,17472,8,4,-133,-17,12,2,58,-114.0,-114.99009910792962,-115.49279225325931,-115.66158283356715,-115.99652623626959,-115.99722377272158,-115.82977421471969,-115.99887925620831,-116.12604521545748,-116.4522210450455,-116.50849525356861,-116.46070553161634,-116.50748582402112,-116.46654916503473,-116.58232451357183,-116.5409424806513,-116.57180007674094,-116.59914611046703,-116.4408272885181,-116.47342832022095,-116.50290705434439,-116.47579511772629,-116.45102892457717,-116.42830632242654,-116.30963830981723,-116.19993076780513,-116.28319557594806,-116.31554069140928,-116.30162837070804,-116.28861461723137,-116.27641239444083,-116.2649459057962,-116.21339684588114,-116.20484419364064,-116.2362192566586,-116.22703397184233,-116.21832612757399,-116.24792393623058,-116.23864892881477,-116.26681122130556,-116.29364554929666,-116.31924170706922,-116.27188070064811,-116.22661827331316,-116.21861963520044,-116.24598702251457,-116.23743361625532,-116.22923352536266,-116.25568380740953,-116.31518613587626,-116.33841576296454,-116.3269966849867,-116.31601737287939,-116.30545586421051,-116.29529172849435,-116.31864536350773,-116.34113852306086,-116.29702362206231,point1,-116.22069848153242,-116.29113008326402,-116.59914611046703,0.15407339628986352,3.835409664730421,18.35214171165193
HDOK,PLFL,17472,9,4,-135,-19,12,2,58,-115.0,-115.99009910792962,-115.4972625943061,-115.66456551701346,-115.74850912587696,-115.79900883330036,-115.83275841182704,-115.712419544274,-115.74894904857256,-115.66394803235922,-115.69847118869914,-115.63282702847279,-115.75142040393915,-115.77147223134644,-115.78872604963848,-115.66161287039426,-115.75157852331625,-115.70358063604439,-115.721636090609,-115.6795630770574,-115.80946665092668,-115.8736488182337,-115.82817345589649,-115.88720946644987,-115.89272138573861,-115.94531698678006,-115.94784642871652,-115.99532385436314,-116.03962044469053,-115.9947660294883,-116.03726591734039,-116.11868653567684,-116.19535379871712,-116.26768153773764,-116.37549269028538,-116.39977639005954,-116.38444304360682,-116.25629228771308,-116.24670421443022,-116.23757865263823,-116.22888339750908,-116.25682634060054,-116.28350640405382,-116.30900426663318,-116.29809776175186,-116.35770588581428,-116.31049603749285,-116.33430898888776,-116.39147026729907,-116.34400426242667,-116.40017742926644,-116.45415983991394,-116.472487088334,-116.45669625875428,-116.47477485408717,-116.49218051945746,-116.47593245367766,-116.49317093242168,point1,-116.04113206711806,-116.01629488585176,-116.49317093242168,0.10487544000377354,0.4741078115412084,-0.00475585893813113
HDOK,PLOK,17472,10,5,-133,-18,12,2,58,-116.0,-115.00990089207038,-115.0049725762173,-115.66888561531071,-115.75174810502843,-116.00239877259871,-116.16991171117878,-116.14535839221273,-115.8728472495051,-115.54679711819234,-115.79881857551871,-115.91170876650344,-116.00611096253766,-116.00561801795155,-116.08069373471118,-116.1460228789385,-116.20342675527387,-116.19043535894626,-116.11792372796263,-116.22765302438924,-116.21490846702682,-116.20332265870222,-116.19273926251044,-116.183029158918,-116.07634750621033,-116.02522112908224,-116.11656738447664,-116.15643143803504,-116.14953431068206,-116.01364767976163,-116.09762788071116,-116.09357795745125,-116.13051645732351,-116.08520691175964,-116.04238708327863,-116.04073887966494,-116.0391763477808,-116.03769294903051,-116.03628282951121,-115.99795084148046,-116.03462531954708,-116.03337060225724,-116.03217259184011,-116.06661467254177,-116.02896781976747,-115.99292882758654,-116.02794648332132,-116.06151766551112,-116.05940657264813,-116.09149221131025,-116.05446761474934,-116.08637247622264,-116.08347241509826,-116.11410337043152,-116.11030654647551,-116.13979048618154,-116.16818807652164,-116.16265576183729,point1,-116.01969894624645,-116.06406616902645,-116.22765302438924,0.05220377790271103,3.245738596827826,11.927480615288507
