hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-85,7,8,2,19,-83,-88,-85,-83,-87,-83,-84,-84,-85,-88,-84,-88,-84,-83,-88,-84,-84,-84,-84,330,-84.89473684210526,-84.0,-84.0,0.7933884297520662
HDOK,PLOK,17472,2,2,-66,8,8,2,19,-64,-65,-64,-63,-64,-64,-69,-64,-69,-67,-65,-67,-63,-63,-69,-64,-64,-65,-64,330,-65.10526315789474,-64.0,-64.0,0.7933884297520662
HDOK,PLOK,17472,3,3,-62,8,8,2,19,-59,-60,-59,-59,-59,-60,-64,-59,-62,-61,-59,-61,-66,-60,-61,-59,-59,-59,-60,330,-60.31578947368421,-60.0,-59.0,0.5619834710743802
HDOK,PLOK,17472,4,4,-64,8,8,2,19,-62,-65,-67,-63,-67,-62,-62,-62,-65,-65,-62,-64,-63,-62,-64,-63,-63,-63,-62,330,-63.473684210526315,-63.0,-62.0,0.8099173553719009
HDOK,PLOK,17472,5,5,-67,8,8,2,19,-64,-69,-68,-65,-69,-63,-64,-64,-66,-68,-64,-68,-65,-65,-67,-65,-65,-65,-64,330,-65.6842105263158,-65.0,-65.0,1.322314049586777
HDOK,PLOK,17472,6,6,-71,8,8,2,19,-69,-71,-69,-70,-69,-75,-76,-69,-72,-71,-70,-71,-69,-70,-71,-69,-70,-75,-73,330,-71.0,-70.0,-69.0,0.7768595041322314
HDOK,PLOK,17472,7,7,-71,7,8,2,19,-69,-73,-75,-71,-75,-69,-69,-69,-72,-71,-69,-71,-71,-70,-71,-72,-75,-71,-74,330,-71.42105263157895,-71.0,-71.0,0.9917355371900828
HDOK,PLOK,17472,8,8,-73,8,8,2,19,-72,-72,-75,-77,-74,-75,-72,-73,-71,-72,-74,-72,-77,-73,-72,-77,-72,-76,-77,330,-73.84210526315789,-73.0,-72.0,1.884297520661157
HDOK,PLOK,17472,9,9,-74,8,8,2,19,-73,-79,-77,-74,-77,-73,-73,-73,-77,-76,-73,-76,-74,-73,-75,-74,-75,-74,-74,330,-74.73684210526316,-74.0,-73.0,0.9586776859504134
HDOK,PLOK,17472,10,10,-75,8,8,2,19,-73,-75,-79,-76,-79,-75,-73,-73,-74,-75,-74,-74,-76,-75,-74,-77,-74,-75,-74,330,-75.0,-75.0,-74.0,0.4132231404958677
HDOK,PLOK,17472,11,11,-70,8,8,2,19,-70,-73,-71,-70,-73,-69,-69,-68,-70,-73,-68,-71,-69,-69,-71,-69,-69,-69,-68,330,-69.94736842105263,-69.0,-69.0,0.5950413223140495
HDOK,PLOK,17472,12,12,-69,8,8,2,19,-69,-69,-69,-68,-68,-68,-73,-68,-73,-71,-68,-73,-68,-68,-73,-71,-68,-70,-68,330,-69.63157894736842,-69.0,-68.0,1.2727272727272727
HDOK,PLOK,17472,13,13,-69,8,8,2,19,-69,-53,-68,-68,-68,-69,-73,-67,-70,-69,-67,-69,-68,-74,-70,-68,-68,-68,-68,330,-68.10526315789474,-68.0,-68.0,0.23140495867768598
HDOK,PLOK,17472,14,14,-68,8,8,2,19,-68,-67,-67,-66,-67,-67,-71,-66,-71,-70,-67,-70,-66,-66,-71,-64,-66,-68,-66,330,-67.57894736842105,-67.0,-66.0,1.2396694214876034
HDOK,PLOK,17472,15,15,-70,7,8,2,19,-67,-71,-71,-69,-73,-67,-67,-67,-65,-70,-67,-70,-68,-68,-69,-69,-70,-68,-67,330,-68.57894736842105,-68.0,-67.0,1.1404958677685952
HDOK,PLOK,17472,16,16,-69,8,8,2,19,-67,-68,-67,-67,-67,-100,-73,-67,-69,-68,-67,-68,-74,-69,-69,-67,-67,-67,-67,330,-69.89473684210526,-67.0,-67.0,0.5950413223140495
HDOK,PLOK,17472,17,17,-70,7,8,2,19,-69,-75,-69,-69,-71,-68,-69,-75,-70,-73,-68,-73,-68,-68,-73,-68,-68,-68,-68,330,-70.0,-69.0,-68.0,2.198347107438016
HDOK,PLOK,17472,18,18,-71,8,8,2,19,-70,-69,-75,-75,-70,-73,-70,-70,-69,-70,-72,-69,-76,-71,-70,-75,-69,-75,-70,330,-71.47368421052632,-70.0,-70.0,2.5454545454545454
HDOK,PLOK,17472,19,19,-69,7,8,2,19,-68,-73,-69,-68,-70,-68,-69,-70,-70,-73,-67,-73,-68,-67,-71,-68,-67,-67,-67,330,-69.10526315789474,-68.0,-68.0,0.9586776859504131
HDOK,PLOK,17472,20,20,-68,8,8,2,19,-64,-65,-63,-63,-65,-64,-67,-64,-68,-69,-64,-69,-64,-64,-70,-68,-65,-65,-71,330,-65.89473684210526,-65.0,-64.0,2.2314049586776856
HDOK,PLOK,17472,21,21,-70,8,8,2,19,-69,-73,-69,-69,-70,-69,-73,-70,-75,-75,-69,-75,-69,-69,-75,-71,-68,-69,-68,330,-70.78947368421052,-69.0,-69.0,2.2644628099173554
HDOK,PLOK,17472,22,22,-74,8,8,2,19,-73,-75,-77,-75,-77,-73,-72,-73,-73,-74,-74,-74,-76,-74,-74,-76,-75,-75,-74,330,-74.42105263157895,-74.0,-74.0,0.38016528925619836
HDOK,PLOK,17472,23,23,-70,7,8,2,19,-67,-67,-71,-71,-69,-68,-66,-66,-67,-67,-68,-68,-71,-69,-68,-73,-68,-70,-68,330,-68.52631578947368,-68.0,-68.0,0.6942148760330578
HDOK,PLOK,17472,24,24,-71,8,8,2,19,-69,-75,-70,-69,-73,-69,-70,-69,-70,-75,-69,-75,-69,-70,-74,-71,-71,-71,-71,330,-71.05263157894737,-70.0,-69.0,1.15702479338843
HDOK,PLOK,17472,25,25,-70,8,8,2,19,-68,-69,-68,-68,-68,-73,-75,-68,-71,-70,-69,-70,-68,-68,-71,-69,-68,-71,-69,330,-69.52631578947368,-69.0,-68.0,0.9090909090909091
HDOK,PLOK,17472,26,26,-68,8,8,2,19,-67,-68,-67,-67,-67,-71,-73,-67,-70,-69,-67,-69,-66,-67,-70,-66,-66,-67,-66,330,-67.89473684210526,-67.0,-67.0,0.6115702479338844
HDOK,PLOK,17472,27,27,-71,8,8,2,19,-70,-72,-70,-70,-71,-71,-75,-70,-74,-73,-71,-73,-69,-69,-73,-70,-69,-70,-73,330,-71.21052631578948,-71.0,-70.0,1.2727272727272727
HDOK,PLOK,17472,28,28,-67,8,8,2,19,-64,-64,-63,-63,-64,-66,-70,-63,-67,-66,-65,-66,-66,-72,-67,-65,-65,-65,-66,330,-65.63157894736842,-65.0,-66.0,0.5619834710743802
HDOK,PLOK,17472,29,29,-71,8,8,2,19,-70,-71,-75,-73,-75,-70,-69,-69,-69,-70,-70,-70,-73,-70,-70,-73,-70,-71,-69,330,-70.89473684210526,-70.0,-70.0,0.7933884297520662
HDOK,PLOK,17472,30,30,-70,7,8,2,19,-69,-71,-73,-71,-75,-69,-69,-69,-69,-70,-69,-70,-71,-70,-70,-71,-73,-70,-70,330,-70.47368421052632,-70.0,-70.0,0.4462809917355372
HDOK,PLOK,17472,31,31,-71,8,8,2,19,-70,-71,-76,-74,-74,-71,-70,-70,-70,-71,-71,-71,-73,-71,-70,-74,-70,-71,-74,330,-71.6842105263158,-71.0,-71.0,1.2892561983471074
HDOK,PLOK,17472,32,32,-70,8,8,2,19,-70,-75,-73,-70,-73,-69,-70,-69,-70,-75,-69,-75,-70,-69,-73,-70,-70,-69,-71,330,-71.05263157894737,-70.0,-70.0,1.5206611570247934
HDOK,PLOK,17472,33,33,-73,8,8,2,19,-72,-76,-73,-71,-74,-71,-72,-73,-74,-76,-71,-76,-71,-71,-76,-71,-71,-71,-75,330,-72.89473684210526,-72.0,-71.0,1.884297520661157
HDOK,PLOK,17472,34,34,-70,8,8,2,19,-69,-73,-73,-69,-73,-68,-69,-68,-70,-73,-68,-73,-69,-69,-71,-69,-69,-69,-68,330,-70.0,-69.0,-69.0,1.5041322314049588
HDOK,PLOK,17472,35,35,-69,8,8,2,19,-68,-69,-67,-68,-67,-67,-73,-67,-69,-69,-67,-69,-68,-74,-69,-68,-67,-67,-68,330,-68.47368421052632,-68.0,-67.0,0.5454545454545454
HDOK,PLOK,17472,36,36,-70,8,8,2,19,-68,-70,-68,-69,-68,-69,-73,-68,-69,-69,-68,-69,-70,-71,-69,-68,-69,-73,-69,330,-69.3157894736842,-69.0,-69.0,0.2644628099173554
HDOK,PLOK,17472,37,37,-71,7,8,2,19,-69,-70,-69,-68,-69,-69,-73,-69,-73,-73,-69,-73,-68,-69,-75,-73,-69,-69,-70,330,-70.36842105263158,-69.0,-69.0,2.2644628099173554
HDOK,PLOK,17472,38,38,-69,8,8,2,19,-69,-69,-68,-68,-68,-71,-73,-68,-71,-70,-68,-70,-68,-68,-71,-68,-68,-71,-68,330,-69.21052631578948,-68.0,-68.0,1.0578512396694215
HDOK,PLOK,17472,39,39,-71,8,8,2,19,-69,-70,-68,-68,-69,-68,-73,-69,-73,-73,-68,-73,-68,-68,-73,-71,-68,-68,-71,330,-69.89473684210526,-69.0,-68.0,2.429752066115703
HDOK,PLOK,17472,40,40,-70,8,8,2,19,-69,-73,-70,-69,-70,-68,-70,-71,-71,-75,-68,-75,-68,-68,-73,-69,-68,-68,-70,330,-70.15789473684211,-70.0,-68.0,0.9752066115702479
HDOK,PLOK,17472,41,41,-70,7,8,2,19,-69,-71,-69,-69,-70,-69,-73,-70,-73,-73,-69,-75,-68,-69,-75,-71,-69,-69,-69,330,-70.52631578947368,-69.0,-69.0,1.5371900826446279
HDOK,PLOK,17472,42,42,-71,8,8,2,19,-68,-70,-68,-69,-70,-69,-73,-69,-70,-69,-68,-69,-70,-71,-70,-68,-69,-73,-68,330,-69.52631578947368,-69.0,-69.0,0.38016528925619836
HDOK,PLOK,17472,43,43,-71,8,8,2,19,-69,-70,-75,-71,-73,-69,-68,-68,-69,-70,-69,-69,-71,-70,-69,-71,-69,-71,-70,330,-70.05263157894737,-70.0,-69.0,0.56198347107438
HDOK,PLOK,17472,44,44,-70,8,8,2,19,-69,-69,-68,-68,-68,-70,-73,-68,-70,-70,-68,-70,-69,-69,-70,-68,-68,-73,-69,330,-69.3157894736842,-69.0,-68.0,0.5454545454545454
HDOK,PLOK,17472,45,45,-70,8,8,2,19,-68,-70,-69,-68,-69,-69,-73,-69,-73,-71,-70,-71,-68,-68,-73,-69,-68,-68,-69,330,-69.63157894736842,-69.0,-69.0,0.6942148760330578
HDOK,PLOK,17472,46,46,-71,8,8,2,19,-69,-69,-70,-75,-69,-73,-69,-69,-68,-69,-71,-69,-75,-70,-69,-75,-69,-75,-69,330,-70.63157894736842,-69.0,-69.0,1.471074380165289
HDOK,PLOK,17472,47,47,-69,8,8,2,19,-67,-69,-68,-68,-68,-67,-73,-68,-69,-69,-67,-69,-68,-68,-70,-67,-67,-67,-67,330,-68.21052631578948,-68.0,-67.0,0.4462809917355372
HDOK,PLOK,17472,48,48,-68,8,8,2,19,-66,-70,-67,-67,-70,-66,-66,-66,-70,-70,-65,-69,-67,-66,-68,-67,-69,-67,-66,330,-67.47368421052632,-67.0,-66.0,1.0578512396694215
HDOK,PLOK,17472,49,49,-68,8,8,2,19,-66,-67,-71,-70,-69,-67,-65,-65,-65,-66,-67,-66,-70,-66,-65,-71,-65,-70,-66,330,-67.21052631578948,-66.0,-66.0,1.966942148760331
HDOK,PLOK,17472,50,50,-67,7,8,2,19,-66,-71,-65,-65,-68,-65,-66,-67,-68,-71,-65,-71,-65,-65,-71,-65,-65,-65,-66,330,-66.84210526315789,-66.0,-65.0,1.2727272727272727
HDOK,PLOK,17472,51,51,-68,8,8,2,19,-65,-68,-71,-68,-70,-67,-66,-65,-66,-66,-67,-66,-69,-67,-66,-70,-66,-69,-65,330,-67.21052631578948,-67.0,-66.0,0.9917355371900826
HDOK,PLOK,17472,52,52,-67,8,8,2,19,-66,-67,-70,-69,-70,-66,-65,-65,-65,-66,-66,-66,-69,-67,-66,-70,-66,-69,-65,330,-67.0,-66.0,-66.0,1.2892561983471074
HDOK,PLOK,17472,53,53,-68,7,8,2,19,-66,-69,-65,-65,-67,-65,-69,-70,-70,-71,-65,-71,-65,-65,-71,-75,-65,-65,-68,330,-67.73684210526316,-67.0,-65.0,3.96694214876033
HDOK,PLOK,17472,54,54,-68,8,8,2,19,-66,-66,-65,-65,-65,-67,-71,-65,-68,-67,-65,-67,-66,-73,-68,-65,-66,-65,-67,330,-66.6842105263158,-66.0,-65.0,0.628099173553719
HDOK,PLOK,17472,55,55,-67,7,8,2,19,-66,-67,-71,-69,-70,-67,-65,-65,-65,-66,-67,-66,-69,-67,-66,-70,-66,-68,-70,330,-67.36842105263158,-67.0,-66.0,1.1735537190082643
HDOK,PLOK,17472,56,56,-68,8,8,2,19,-66,-67,-65,-65,-66,-72,-70,-65,-70,-69,-67,-69,-65,-65,-70,-67,-66,-66,-66,330,-67.15789473684211,-66.0,-66.0,1.4710743801652895
HDOK,PLOK,17472,57,57,-68,8,8,2,19,-66,-67,-65,-66,-66,-66,-70,-65,-68,-67,-66,-67,-68,-65,-67,-65,-66,-70,-66,330,-66.63157894736842,-66.0,-66.0,0.23140495867768598
HDOK,PLOK,17472,58,58,-68,8,8,2,19,-66,-67,-66,-66,-66,-69,-71,-66,-69,-67,-66,-68,-67,-73,-68,-66,-66,-66,-71,330,-67.57894736842105,-67.0,-66.0,0.9917355371900826
HDOK,PLOK,17472,59,59,-68,8,8,2,19,-66,-73,-67,-66,-69,-65,-67,-73,-68,-71,-66,-71,-66,-66,-71,-66,-66,-66,-66,330,-67.84210526315789,-66.0,-66.0,2.4462809917355375
HDOK,PLOK,17472,60,60,-68,8,8,2,19,-67,-67,-71,-70,-70,-67,-65,-66,-66,-66,-67,-66,-70,-67,-66,-71,-66,-70,-66,330,-67.57894736842105,-67.0,-66.0,1.9669421487603307
HDOK,PLOK,17472,61,61,-68,8,8,2,19,-66,-68,-66,-66,-67,-70,-73,-66,-70,-69,-65,-69,-66,-66,-70,-67,-67,-69,-66,330,-67.6842105263158,-67.0,-66.0,1.471074380165289
HDOK,PLOK,17472,62,62,-68,8,8,2,19,-67,-69,-70,-69,-73,-66,-66,-66,-67,-68,-67,-68,-69,-67,-67,-69,-69,-68,-67,330,-68.0,-68.0,-67.0,0.6942148760330578
