hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-65,8,8,2,19,-63,-64,-63,-62,-63,-62,-67,-64,-67,-67,-62,-67,-62,-62,-67,-59,-62,-62,-65,point3,3.6094674556213016
HDOK,PLOK,17472,2,2,-65,8,8,2,19,-61,-62,-61,-61,-61,-61,-65,-60,-63,-62,-61,-62,-68,-62,-63,-61,-61,-65,-64,point3,1.5147928994082842
HDOK,PLOK,17472,3,3,-65,7,8,2,19,-62,-62,-61,-61,-62,-64,-67,-61,-64,-63,-61,-63,-61,-61,-64,-61,-61,-61,-61,point3,1.2307692307692308
HDOK,PLOK,17472,4,4,-65,8,8,2,19,-62,-62,-64,-67,-64,-64,-61,-62,-62,-62,-64,-62,-67,-63,-62,-67,-62,-65,-67,point3,2.982248520710059
HDOK,PLOK,17472,5,5,-66,8,8,2,19,-62,-63,-62,-62,-62,-63,-67,-62,-64,-63,-62,-63,-63,-64,-63,-62,-62,-62,-64,point3,0.48520710059171596
HDOK,PLOK,17472,6,6,-65,7,8,2,19,-62,-67,-63,-62,-63,-62,-64,-65,-65,-67,-62,-67,-62,-62,-67,-63,-61,-62,-62,point3,3.1597633136094667
HDOK,PLOK,17472,7,7,-66,8,8,2,19,-62,-65,-67,-63,-67,-62,-62,-62,-65,-64,-62,-64,-63,-63,-63,-64,-65,-62,-62,point3,1.1715976331360947
HDOK,PLOK,17472,8,8,-66,7,8,2,19,-62,-67,-67,-62,-67,-62,-62,-62,-63,-65,-62,-65,-62,-62,-64,-62,-61,-62,-62,point3,2.5325443786982245
HDOK,PLOK,17472,9,9,-65,8,8,2,19,-62,-63,-62,-62,-61,-62,-65,-62,-63,-63,-62,-63,-63,-64,-63,-62,-62,-62,-61,point3,0.24852071005917156
HDOK,PLOK,17472,10,10,-65,8,8,2,19,-62,-63,-62,-62,-62,-64,-67,-61,-65,-64,-61,-64,-62,-62,-65,-62,-61,-64,-61,point3,1.1479289940828399
HDOK,PLOK,17472,11,11,-65,8,8,2,19,-62,-67,-65,-63,-67,-62,-62,-62,-65,-64,-62,-64,-63,-62,-64,-63,-64,-62,-61,point3,1.1360946745562128
HDOK,PLOK,17472,12,12,-65,8,8,2,19,-62,-67,-64,-63,-67,-62,-62,-62,-65,-64,-62,-64,-63,-62,-63,-63,-65,-62,-67,point3,1.928994082840237
HDOK,PLOK,17472,13,13,-65,8,8,2,19,-62,-67,-65,-63,-67,-62,-62,-62,-59,-64,-62,-64,-63,-62,-63,-64,-65,-62,-62,point3,1.207100591715976
HDOK,PLOK,17472,14,14,-65,8,8,2,19,-62,-62,-67,-67,-64,-63,-61,-61,-61,-61,-63,-61,-67,-61,-61,-67,-61,-65,-61,point3,4.5325443786982245
HDOK,PLOK,17472,15,15,-66,8,8,2,19,-62,-67,-64,-62,-67,-62,-63,-62,-63,-67,-62,-67,-63,-62,-65,-63,-62,-62,-63,point3,2.8639053254437865
HDOK,PLOK,17472,16,16,-65,8,8,2,19,-61,-64,-61,-61,-62,-61,-64,-62,-65,-67,-61,-67,-61,-61,-67,-63,-61,-61,-67,point3,4.615384615384615
HDOK,PLOK,17472,17,17,-64,8,8,2,19,-62,-64,-65,-63,-67,-61,-60,-61,-68,-62,-61,-62,-63,-62,-62,-64,-62,-62,-67,point3,2.224852071005917
HDOK,PLOK,17472,18,18,-64,8,8,2,19,-61,-67,-62,-61,-64,-61,-62,-62,-62,-65,-61,-65,-61,-61,-65,-61,-61,-61,-61,point3,2.1301775147928996
HDOK,PLOK,17472,19,19,-64,8,8,2,19,-61,-62,-61,-61,-61,-62,-65,-61,-63,-62,-61,-62,-62,-68,-63,-61,-61,-65,-61,point3,1.2307692307692308
HDOK,PLOK,17472,20,20,-65,8,8,2,19,-61,-67,-63,-62,-65,-61,-62,-61,-62,-65,-61,-65,-62,-62,-64,-62,-60,-61,-61,point3,1.78698224852071
HDOK,PLOK,17472,21,21,-65,8,8,2,19,-61,-67,-63,-61,-65,-61,-62,-61,-61,-67,-61,-65,-61,-61,-64,-61,-61,-61,-61,point3,2.3786982248520707
HDOK,PLOK,17472,22,22,-64,8,8,2,19,-61,-62,-67,-65,-64,-63,-61,-61,-61,-61,-62,-61,-65,-62,-61,-65,-61,-64,-67,point3,2.4852071005917162
HDOK,PLOK,17472,23,23,-65,8,8,2,19,-61,-62,-59,-61,-61,-60,-65,-60,-63,-62,-60,-62,-62,-69,-63,-61,-61,-65,-64,point3,1.5147928994082842
HDOK,PLOK,17472,24,24,-64,8,8,2,19,-62,-62,-61,-61,-62,-63,-67,-61,-65,-64,-61,-64,-61,-61,-65,-60,-61,-61,-60,point3,1.8224852071005921
HDOK,PLOK,17472,25,25,-65,8,8,2,19,-61,-62,-61,-61,-61,-65,-67,-61,-64,-63,-61,-63,-61,-61,-64,-61,-61,-64,-67,point3,2.082840236686391
HDOK,PLOK,17472,26,26,-65,8,8,2,19,-62,-61,-65,-67,-62,-64,-61,-62,-61,-61,-64,-61,-67,-61,-61,-67,-61,-65,-64,point3,3.5384615384615383
HDOK,PLOK,17472,27,27,-65,8,8,2,19,-62,-64,-65,-63,-67,-61,-61,-61,-63,-63,-61,-63,-63,-62,-62,-64,-65,-62,-67,point3,1.053254437869822
HDOK,PLOK,17472,28,28,-64,8,8,2,19,-62,-65,-63,-61,-63,-60,-63,-65,-64,-67,-61,-67,-61,-61,-67,-62,-61,-61,-62,point3,3.076923076923077
HDOK,PLOK,17472,29,29,-64,8,8,2,19,-60,-63,-61,-60,-61,-59,-63,-63,-64,-65,-60,-65,-60,-60,-67,-62,-60,-60,-65,point3,3.3017751479289936
HDOK,PLOK,17472,30,30,-64,8,8,2,19,-62,-62,-65,-65,-64,-63,-61,-61,-61,-62,-63,-62,-65,-62,-61,-67,-61,-65,-61,point3,1.976331360946746
HDOK,PLOK,17472,31,31,-65,8,8,2,19,-62,-64,-67,-63,-67,-62,-61,-62,-63,-63,-62,-63,-64,-62,-62,-64,-64,-63,-61,point3,0.6153846153846154
HDOK,PLOK,17472,32,32,-65,8,8,2,19,-62,-69,-65,-62,-65,-62,-63,-62,-62,-67,-62,-67,-63,-62,-67,-62,-62,-62,-62,point3,3.4674556213017738
HDOK,PLOK,17472,33,33,-65,8,8,2,19,-62,-62,-62,-62,-62,-64,-67,-61,-64,-64,-62,-64,-62,-62,-64,-62,-62,-61,-62,point3,0.8520710059171595
HDOK,PLOK,17472,34,34,-65,8,8,2,19,-62,-67,-65,-62,-65,-62,-62,-62,-61,-67,-62,-65,-63,-62,-64,-63,-61,-62,-64,point3,1.5147928994082842
HDOK,PLOK,17472,35,35,-66,8,8,2,19,-63,-63,-62,-62,-62,-62,-67,-62,-67,-65,-63,-65,-62,-62,-67,-64,-61,-62,-65,point3,2.4023668639053253
HDOK,PLOK,17472,36,36,-66,8,8,2,19,-62,-67,-64,-62,-64,-62,-63,-63,-64,-67,-62,-67,-62,-61,-67,-62,-62,-62,-62,point3,3.005917159763313
HDOK,PLOK,17472,37,37,-65,8,8,2,19,-62,-63,-67,-67,-65,-64,-62,-62,-62,-62,-64,-62,-67,-62,-61,-67,-62,-67,-62,point3,4.023668639053255
HDOK,PLOK,17472,38,38,-65,8,8,2,19,-63,-67,-64,-62,-64,-62,-64,-64,-64,-67,-62,-67,-62,-62,-67,-62,-62,-62,-65,point3,2.745562130177515
HDOK,PLOK,17472,39,39,-65,8,8,2,19,-62,-67,-65,-63,-67,-62,-62,-62,-64,-65,-62,-65,-63,-63,-64,-63,-62,-63,-62,point3,1.1597633136094674
HDOK,PLOK,17472,40,40,-65,8,8,2,19,-63,-63,-67,-65,-65,-63,-62,-62,-62,-62,-63,-62,-65,-63,-62,-67,-62,-65,-65,point3,1.4792899408284024
HDOK,PLOK,17472,41,41,-65,8,8,2,19,-63,-63,-62,-62,-62,-62,-67,-62,-64,-63,-61,-63,-68,-62,-63,-61,-62,-62,-62,point3,0.4023668639053254
HDOK,PLOK,17472,42,42,-65,8,8,2,19,-63,-62,-61,-61,-61,-65,-67,-61,-65,-64,-61,-64,-61,-61,-65,-61,-61,-64,-67,point3,2.7455621301775155
HDOK,PLOK,17472,43,43,-64,8,8,2,19,-62,-63,-67,-67,-64,-63,-61,-62,-61,-62,-63,-62,-67,-62,-61,-67,-61,-67,-67,point3,4.5325443786982245
HDOK,PLOK,17472,44,44,-65,8,8,2,19,-62,-62,-67,-67,-63,-64,-62,-62,-61,-61,-64,-61,-67,-61,-61,-67,-61,-67,-63,point3,4.556213017751478
HDOK,PLOK,17472,45,45,-65,7,8,2,19,-62,-64,-62,-61,-63,-62,-65,-63,-67,-67,-62,-67,-62,-62,-69,-70,-62,-63,-62,point3,3.8698224852071004
HDOK,PLOK,17472,46,46,-72,8,8,2,19,-73,-73,-77,-79,-73,-76,-71,-72,-71,-71,-74,-70,-76,-73,-69,-74,-69,-75,-73,point3,2.390532544378699
HDOK,PLOK,17472,47,47,-64,8,8,2,19,-61,-65,-64,-61,-65,-60,-60,-60,-65,-63,-60,-63,-62,-61,-62,-62,-65,-62,-61,point3,1.9408284023668638
HDOK,PLOK,17472,48,48,-67,8,8,2,19,-63,-64,-69,-69,-65,-67,-64,-63,-63,-64,-67,-64,-70,-64,-64,-69,-63,-69,-64,point3,4.3668639053254426
HDOK,PLOK,17472,49,49,-65,8,8,2,19,-61,-67,-64,-63,-67,-61,-61,-61,-65,-64,-61,-64,-62,-62,-63,-63,-65,-62,-61,point3,1.6923076923076923
HDOK,PLOK,17472,50,50,-64,8,8,2,19,-62,-60,-65,-67,-61,-65,-61,-62,-61,-60,-64,-60,-67,-65,-61,-65,-60,-67,-65,point3,4.08284023668639
HDOK,PLOK,17472,51,51,-65,8,8,2,19,-61,-67,-62,-61,-63,-61,-63,-64,-63,-67,-61,-67,-61,-61,-67,-62,-61,-61,-64,point3,4.0
HDOK,PLOK,17472,52,52,-64,8,8,2,19,-62,-63,-65,-64,-65,-62,-61,-61,-62,-62,-62,-62,-64,-62,-62,-65,-62,-64,-65,point3,1.3846153846153846
HDOK,PLOK,17472,53,53,-65,8,8,2,19,-62,-62,-62,-61,-62,-62,-65,-62,-65,-64,-57,-65,-61,-61,-65,-65,-61,-63,-61,point3,2.023668639053255
HDOK,PLOK,17472,54,54,-66,8,8,2,19,-63,-67,-62,-62,-64,-62,-64,-65,-65,-67,-62,-67,-62,-62,-67,-63,-62,-62,-64,point3,2.899408284023669
HDOK,PLOK,17472,55,55,-65,8,8,2,19,-62,-67,-63,-62,-65,-61,-62,-62,-62,-67,-61,-67,-62,-62,-65,-62,-61,-62,-61,point3,2.5325443786982245
HDOK,PLOK,17472,56,56,-65,8,8,2,19,-62,-62,-67,-67,-64,-63,-62,-61,-61,-62,-63,-61,-67,-61,-61,-67,-61,-67,-62,point3,4.67455621301775
HDOK,PLOK,17472,57,57,-65,8,8,2,19,-62,-64,-67,-64,-67,-63,-62,-61,-62,-63,-62,-63,-64,-63,-62,-65,-62,-64,-67,point3,1.78698224852071
HDOK,PLOK,17472,58,58,-64,8,8,2,19,-61,-61,-65,-67,-61,-64,-60,-62,-60,-60,-64,-60,-67,-64,-60,-65,-60,-67,-60,point3,5.005917159763314
HDOK,PLOK,17472,59,59,-65,7,8,2,19,-62,-65,-62,-61,-63,-61,-64,-65,-64,-67,-61,-67,-61,-61,-67,-62,-61,-62,-62,point3,2.994082840236686
HDOK,PLOK,17472,60,60,-65,8,8,2,19,-63,-63,-65,-69,-64,-64,-62,-63,-62,-62,-64,-62,-67,-63,-62,-69,-62,-67,-63,point3,2.4378698224852076
HDOK,PLOK,17472,61,61,-64,8,8,2,19,-61,-67,-64,-62,-65,-61,-61,-61,-63,-65,-61,-65,-62,-61,-64,-62,-61,-62,-61,point3,2.094674556213018
HDOK,PLOK,17472,62,62,-64,8,8,2,19,-61,-64,-67,-63,-67,-61,-60,-61,-62,-62,-62,-62,-63,-62,-62,-64,-62,-63,-67,point3,1.9171597633136093
HDOK,PLOK,17472,63,63,-64,8,8,2,19,-61,-62,-65,-65,-65,-62,-60,-60,-61,-61,-62,-61,-64,-62,-61,-65,-61,-64,-60,point3,2.2366863905325447
HDOK,PLOK,17472,64,64,-64,7,8,2,19,-61,-61,-60,-60,-61,-64,-67,-61,-64,-63,-61,-64,-61,-61,-64,-61,-61,-63,-60,point3,1.6923076923076923
HDOK,PLOK,17472,65,65,-65,8,8,2,19,-61,-65,-65,-62,-67,-61,-61,-61,-64,-63,-61,-63,-62,-61,-62,-63,-65,-62,-60,point3,1.775147928994083
HDOK,PLOK,17472,66,66,-64,8,8,2,19,-61,-65,-65,-62,-67,-61,-61,-61,-64,-63,-61,-63,-62,-61,-62,-63,-65,-62,-60,point3,1.775147928994083
