hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-95,6,9,2,33,-92,-91,-93,-93,-95,-93,-92,-92,-97,-92,-93,-92,-92,-94,-92,-93,-93,-99,-95,-100,-93,-96,-93,-93,-98,-99,-93,-94,-99,-94,-94,-94,-99,346,4.801097393689987
HDOK,PLOK,17472,2,2,-95,7,9,2,33,-95,-94,-95,-95,-98,-102,-94,-94,-100,-93,-94,-94,-93,-96,-93,-93,-94,-100,-97,-100,-94,-97,-94,-93,-97,-99,-93,-94,-163,-93,-94,-93,-93,346,5.185185185185185
HDOK,PLOK,17472,3,3,-93,8,9,2,33,-92,-95,-99,-91,-91,-91,-91,-92,-91,-92,-99,-91,-92,-91,-95,-92,-91,-91,-91,-92,-97,-94,-97,-99,-91,-91,-99,-91,-92,-91,-94,-97,-95,346,6.669410150891633
HDOK,PLOK,17472,4,4,-94,8,9,2,33,-91,-92,-99,-91,-91,-91,-91,-93,-91,-91,-97,-91,-91,-91,-97,-93,-89,-91,-91,-92,-95,-93,-97,-99,-92,-91,-99,-91,-91,-91,-97,-99,-92,346,7.2592592592592595
HDOK,PLOK,17472,5,5,-94,8,9,2,33,-92,-91,-92,-94,-94,-92,-93,-91,-92,-92,-93,-92,-91,-93,-92,-91,-91,-95,-94,-97,-94,-97,-93,-92,-100,-97,-92,-91,-95,-92,-91,-91,-91,346,2.7187928669410155
HDOK,PLOK,17472,6,6,-94,9,9,2,33,-92,-100,-99,-91,-91,-91,-91,-92,-91,-91,-99,-91,-92,-91,-97,-92,-92,-91,-92,-92,-97,-94,-97,-99,-91,-91,-99,-92,-91,-91,-97,-97,-99,346,9.467764060356654
HDOK,PLOK,17472,7,7,-94,9,9,2,33,-92,-93,-99,-91,-91,-92,-91,-93,-92,-91,-99,-91,-91,-91,-97,-94,-95,-92,-91,-92,-95,-93,-97,-99,-91,-91,-99,-91,-91,-91,-95,-92,-92,346,5.920438957475994
HDOK,PLOK,17472,8,8,-92,9,9,2,33,-91,-90,-91,-91,-93,-91,-91,-90,-92,-90,-92,-90,-90,-92,-91,-90,-91,-95,-93,-97,-92,-95,-92,-91,-95,-97,-91,-91,-95,-91,-91,-92,-90,346,2.2743484224965704
HDOK,PLOK,17472,9,9,-92,8,9,2,33,-90,-90,-97,-89,-89,-90,-90,-89,-89,-90,-97,-89,-90,-89,-95,-93,-94,-89,-89,-90,-93,-92,-95,-97,-89,-89,-97,-90,-89,-89,-94,-90,-95,346,6.825788751714678
HDOK,PLOK,17472,10,10,-94,8,9,2,33,-93,-99,-98,-92,-92,-93,-93,-93,-92,-93,-100,-92,-94,-92,-95,-92,-93,-92,-91,-93,-97,-95,-99,-99,-92,-92,-99,-92,-92,-92,-97,-96,-97,346,6.117969821673524
HDOK,PLOK,17472,11,11,-95,6,9,2,33,-93,-93,-93,-97,-95,-94,-93,-93,-94,-93,-95,-94,-93,-95,-93,-93,-93,-99,-95,-101,-95,-99,-95,-94,-95,-99,-94,-93,-99,-94,-94,-93,-97,346,3.4513031550068582
HDOK,PLOK,17472,12,12,-94,8,9,2,33,-92,-99,-99,-92,-92,-92,-92,-92,-92,-93,-99,-91,-93,-91,-95,-92,-93,-92,-92,-93,-99,-95,-99,-99,-92,-92,-99,-92,-92,-92,-97,-92,-97,346,7.591220850480111
HDOK,PLOK,17472,13,13,-94,7,9,2,33,-93,-93,-99,-92,-92,-93,-92,-94,-92,-93,-99,-92,-93,-92,-98,-95,-97,-93,-92,-93,-95,-94,-99,-99,-92,-92,-100,-93,-92,-93,-97,-99,-93,346,6.159122085048012
HDOK,PLOK,17472,14,14,-95,8,9,2,33,-92,-93,-99,-92,-92,-92,-92,-93,-92,-92,-99,-92,-92,-92,-97,-94,-95,-92,-92,-92,-95,-94,-99,-99,-92,-92,-99,-92,-92,-92,-99,-93,-92,346,6.356652949245542
HDOK,PLOK,17472,15,15,-95,6,9,2,33,-93,-101,-99,-93,-93,-93,-93,-93,-93,-93,-100,-93,-93,-93,-98,-93,-94,-93,-93,-93,-99,-95,-99,-100,-93,-93,-99,-93,-93,-93,-97,-98,-99,346,7.111111111111111
HDOK,PLOK,17472,16,16,-94,8,9,2,33,-93,-93,-93,-93,-93,-92,-92,-93,-92,-93,-95,-92,-93,-92,-93,-92,-92,-93,-93,-95,-99,-99,-97,-94,-92,-94,-93,-92,-93,-92,-93,-97,-92,346,1.747599451303155
HDOK,PLOK,17472,17,17,-94,8,9,2,33,-92,-92,-93,-93,-93,-92,-92,-93,-92,-93,-95,-92,-92,-92,-93,-92,-92,-94,-93,-97,-99,-99,-95,-94,-92,-94,-94,-91,-94,-92,-94,-92,-92,346,1.5061728395061726
HDOK,PLOK,17472,18,18,-94,8,9,2,33,-92,-93,-93,-92,-92,-92,-92,-99,-92,-99,-96,-93,-95,-92,-93,-92,-92,-93,-92,-94,-99,-98,-99,-96,-92,-93,-95,-92,-93,-92,-94,-95,-99,346,5.368998628257889
HDOK,PLOK,17472,19,19,-96,6,9,2,33,-94,-97,-100,-94,-93,-93,-94,-93,-94,-93,-101,-93,-94,-93,-99,-95,-95,-94,-93,-94,-99,-96,-100,-101,-93,-93,-101,-93,-94,-93,-100,-103,-94,346,7.876543209876542
HDOK,PLOK,17472,20,20,-94,9,9,2,33,-92,-92,-93,-92,-92,-91,-93,-93,-91,-92,-95,-92,-92,-91,-92,-91,-91,-93,-92,-95,-99,-99,-97,-94,-91,-94,-94,-92,-93,-92,-93,-91,-95,346,1.9780521262002742
HDOK,PLOK,17472,21,21,-94,8,9,2,33,-93,-92,-93,-93,-97,-95,-93,-92,-97,-92,-93,-92,-92,-95,-92,-92,-94,-99,-97,-99,-93,-95,-93,-92,-94,-99,-92,-95,-99,-92,-93,-93,-93,346,4.257887517146776
HDOK,PLOK,17472,22,22,-96,8,9,2,33,-96,-100,-103,-96,-95,-96,-95,-95,-95,-96,-103,-96,-96,-95,-100,-96,-97,-95,-95,-96,-100,-99,-101,-103,-95,-95,-101,-95,-95,-95,-99,-100,-95,346,5.755829903978052
