hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLFL,16960,1,1,-133,-15,9,2,33,-118,-118,-118,-117,-118,-118,-118,-118,-118,-118,-119,-118,-117,-118,-119,-117,-116,-118,-119,-119,-119,-119,-119,-121,-118,-118,-117,-118,-119,-119,-116,-117,-119,358,-118.12121212121212,-118.0,-118.0,0.37440000000000007
HDOK,PLOK,17472,2,2,-127,-10,9,2,33,-117,-117,-115,-118,-118,-116,-118,-118,-117,-118,-118,-119,-118,-117,-117,-118,-117,-117,-118,-119,-117,-117,-119,-116,-132,-118,-118,-121,-116,-118,-117,-119,-117,358,-118.03030303030303,-118.0,-118.0,0.39039999999999997
HDOK,PLOK,17472,3,3,-128,-11,9,2,33,-117,-118,-118,-119,-118,-118,-121,-119,-119,-119,-117,-117,-118,-118,-118,-119,-118,-118,-119,-118,-117,-118,-117,-118,-117,-118,-118,-121,-118,-117,-118,-121,-119,358,-118.27272727272727,-118.0,-118.0,0.3456
HDOK,PLOK,17472,4,4,-127,-10,9,2,33,-116,-118,-119,-117,-121,-116,-118,-117,-119,-118,-121,-118,-118,-118,-117,-118,-118,-116,-118,-118,-118,-119,-118,-121,-118,-118,-119,-117,-117,-117,-119,-118,-116,358,-118.0,-118.0,-118.0,0.3936
HDOK,PLOK,17472,5,5,-127,-9,9,2,33,-116,-118,-116,-119,-118,-119,-119,-117,-116,-115,-117,-117,-117,-119,-118,-116,-119,-118,-118,-119,-118,-118,-119,-116,-117,-118,-118,-118,-118,-118,-118,-117,-118,358,-117.63636363636364,-118.0,-118.0,0.6016
HDOK,PLOK,17472,6,6,-127,-10,9,2,33,-118,-115,-118,-118,-116,-118,-118,-118,-118,-118,-118,-117,-119,-119,-118,-118,-118,-118,-115,-118,-118,-118,-118,-116,-118,-117,-121,-117,-117,-117,-118,-117,-117,358,-117.63636363636364,-118.0,-118.0,0.20160000000000003
HDOK,PLOK,17472,7,7,-124,-7,9,2,33,-117,-117,-118,-117,-117,-115,-118,-118,-118,-117,-119,-117,-117,-117,-116,-118,-117,-118,-118,-119,-117,-119,-119,-118,-118,-117,-119,-118,-117,-118,-118,-117,-118,358,-117.60606060606061,-118.0,-118.0,0.32
HDOK,PLOK,17472,8,8,-125,-8,9,2,33,-117,-116,-116,-116,-119,-118,-118,-117,-119,-118,-117,-119,-116,-116,-119,-117,-117,-117,-119,-118,-116,-119,-117,-118,-116,-118,-118,-117,-118,-119,-117,-119,-117,358,-117.51515151515152,-117.0,-117.0,0.8096000000000001
HDOK,PLOK,17472,9,9,-124,-7,9,2,33,-118,-119,-118,-118,-118,-117,-117,-117,-116,-117,-118,-117,-118,-116,-118,-118,-117,-118,-117,-119,-119,-119,-119,-118,-119,-116,-118,-118,-117,-120,-119,-119,-119,358,-117.9090909090909,-118.0,-118.0,0.5183999999999999
HDOK,PLOK,17472,10,10,-124,-7,9,2,33,-116,-115,-117,-118,-116,-118,-119,-117,-117,-118,-119,-118,-118,-116,-116,-116,-118,-116,-115,-117,-119,-119,-119,-118,-119,-118,-117,-116,-116,-117,-119,-118,-118,358,-117.36363636363636,-118.0,-118.0,0.96
HDOK,PLOK,17472,11,11,-123,-6,9,2,33,-118,-116,-118,-120,-119,-117,-116,-118,-117,-117,-117,-118,-117,-119,-117,-117,-117,-118,-118,-118,-117,-118,-118,-117,-119,-119,-115,-114,-118,-116,-118,-118,-115,358,-117.39393939393939,-118.0,-118.0,0.4896000000000001
