hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-103,9,11,2,33,-111.0,-101.09900892070377,-102.0452554211262,-101.69741122861232,-101.77313508754806,-103.22429932935168,-103.1866359436729,-102.8706531934836,-103.14113048696096,-102.89812561555624,-102.60039653388765,-102.54396968778784,-102.4967838504654,-102.37604485212783,-102.34765351226352,-102.3940115535308,-102.43474576640824,-102.53470723939478,-102.68487280494205,-102.64494317395707,-102.60883772225904,-102.62992544968284,-102.59713643026004,-102.91970935982634,-102.82589578597276,-102.73916595567948,-102.65871831675628,-102.62899428144488,-102.6453520783283,-102.6175083684236,-102.5491223744417,-102.48485972025934,-102.46510072293344,12,-102.79891244751664,-102.60883772225904,-111.0,2.270527030714808,-5.046503869717482,27.883252168031973
HDOK,PLOK,17472,2,2,-102,9,11,2,33,-102.0,-102.0,-103.49329448842984,-102.99635010046994,-102.7470101328545,-103.60101624625516,-103.83592762484882,-103.57062444910672,-103.87921247330024,-103.55243992903824,-103.2902236910644,-103.2629477049021,-103.93408673920472,-103.77807243191717,-103.56832830661963,-103.456877368007,-103.49338577512113,-103.39801402105424,-103.25194652861838,-103.178955219079,-103.05697212724792,-102.99999030312458,-102.94793858575348,-103.2528382855589,-103.2404824239521,-103.1340597782035,-103.03534575386512,-102.94350271941492,-103.07826495942912,-102.98859823551412,-102.90452308040452,-102.86700050964122,-102.7909165279532,12,-103.1978529248471,-103.2404824239521,-102.0,0.1929281631628421,0.8480888915207936,1.564248509056124
HDOK,PLOK,17472,3,3,-121,-5,11,2,33,-115.0,-117.97029732378888,-117.48731744187148,-116.99236211887283,-117.24452689160668,-117.19542556128464,-117.33052626568804,-117.13825678898448,-116.99367131581282,-116.7674021348018,-116.79129728566475,-116.81091171592496,-116.8273138964366,-116.76057810747452,-116.7031545543519,-116.7242494382488,-116.81000469524037,-116.8860010931149,-116.89294497848128,-116.89918652796824,-116.96081268240772,-117.01683571975732,-117.01595938313304,-117.06553483654348,-117.06233223861032,-117.10687134453386,-117.10192785578386,-117.1424525041014,-117.1361717137764,-117.0440066034399,-117.08442466861976,-117.03943919257468,-117.03783196708645,12,-116.97090996502988,-117.01683571975732,-117.97029732378888,0.1792683644201525,2.7156340369269563,14.569184948159238
HDOK,PLOK,17472,4,4,-118,-2,11,2,33,-114.0,-114.99009910792962,-115.49279225325932,-115.99436674980755,-115.74552312237384,-115.99742377487446,-115.99785636359766,-115.99816613264164,-115.99839907707238,-115.88508704830438,-115.8968922397,-115.90658257832416,-116.00142943788823,-116.00131413139376,-116.00121491463592,-115.93006505301692,-115.93476604201196,-115.9389320633453,-116.00356368411586,-115.94505365526452,-115.94812968223238,-115.89701560135327,-115.95442839026104,-116.0574832218382,-116.05467409531616,-116.1470768418883,-116.14027358965608,-116.1790679233328,-116.171172743901,-116.16378749732812,-116.15686279077003,-116.10887234489807,-116.10443558044472,12,-115.90129720402356,-115.99785636359766,-116.1790679233328,0.1596206438172815,3.767441551216412,15.923605847374995
HDOK,PLOK,17472,5,5,-107,7,11,2,33,-113.0,-106.06930624449262,-107.52810252195091,-107.01957458027924,-107.0146759756516,-107.81493442605804,-108.01392557728006,-107.57839423264517,-108.2670661059951,-107.8962746087964,-107.59873568401396,-107.4484822976195,-107.4095793712018,-107.21520915562036,-107.04796113812502,-106.90242579955918,-106.90898468409776,-106.85093440319476,-106.79910240662976,-106.75251293193362,-106.71038546952578,-106.61817784976438,-106.58600031902186,-106.90913428006836,-106.86470612979164,-106.8236326925963,-106.78553437009698,-106.7952119269436,-106.98060278696808,-106.9814396795586,-107.06678158975862,-107.14697780163056,-107.14098816407554,12,-107.28926530924076,-107.0146759756516,-113.0,1.2221466942964945,-4.332098704742858,22.051523422038866
HDOK,PLOK,17472,6,6,-101,8,11,2,33,-101.0,-101.0,-101.0,-100.6672160837596,-101.00074974663274,-102.20540730572417,-101.83508472752308,-101.13638434531184,-100.86501311833324,-100.4263583882653,-99.97163150858816,-99.78633239138595,-99.54463615371344,-99.25870587825156,-99.08817386357283,-98.93978086696664,-98.8766093096272,-98.88448938105444,-99.31790836208825,-99.24107132871438,-99.17159320611051,-99.1623425422195,-99.15389225215318,-99.49879559240024,-99.4744201332163,-99.45188523393142,-99.43098262827996,-99.4566589940642,-99.480615125652,-99.50302398161742,-99.5240354333451,-99.50229673252458,-99.52257912992786,12,-99.8902628407562,-99.50229673252458,-101.0,0.7750932842202106,-1.0564780168363364,0.1048825797183958
HDOK,PLOK,17472,7,7,-96,10,11,2,33,-105.0,-95.09900892070377,-96.54302025060282,-96.02952792876896,-95.7718850979032,-96.82169763624071,-97.01955313808622,-96.72771491207862,-97.65146673210022,-97.35054190001192,-97.10906696960944,-96.9108513061416,-97.09207138627455,-96.92331314937154,-96.77810324427568,-96.65174495903126,-96.5407155637145,-96.44232119818784,-96.35446673242714,-96.27549826351296,-96.14811046260311,-96.08621533143766,-96.02967540974092,-96.38083672976876,-96.31335712517924,-96.2034729398846,-96.1015481092691,-96.23233798432948,-96.22209410568856,-96.16936686594188,-96.11992766858248,-96.07346941217696,-96.02972339996272,12,-96.70311226768511,-96.35446673242714,-105.0,2.392225670664672,-4.848888182884334,26.114266106703564
HDOK,PLOK,17472,8,8,-101,7,11,2,33,-101.0,-100.00990089207038,-100.5027374056939,-100.66821839922696,-102.00251469833138,-103.40761920427444,-103.17125779769918,-102.56848461340236,-102.36925005386718,-101.9868613199454,-101.68001627738222,-101.6161065582825,-101.47591981099336,-101.35686382334993,-101.17892089594656,-101.09514262079286,-101.02152773109248,-101.0201529105273,-101.62804395138606,-101.53312531286362,-101.44729731410987,-101.36927289049376,-101.29799919386171,-101.585263022677,-101.4589247505488,-101.3896260003146,-101.2790903904109,-101.26649670292927,-101.34292758636867,-101.28498698713062,-101.23065953258129,-101.1796077569028,-101.090784408539,12,-101.47016972163624,-101.35686382334993,-103.40761920427444,0.4350204699898225,-1.0551747395414692,2.458745317804159
HDOK,PLOK,17472,9,9,-104,9,11,2,33,-109.0,-100.08910802863338,-101.04028284490892,-100.6940934457824,-102.52242116188428,-103.8231277472725,-103.51699592028184,-103.00876772321465,-102.7536068187828,-102.44108972794112,-102.29304427435592,-102.26550320235398,-102.15572901901638,-101.98183579965654,-101.90770731811703,-101.84320243596788,-101.7865228280882,-101.92788161426996,-102.60230493054628,-102.50888693505804,-102.42441585830058,-102.5093562802279,-102.4828431539938,-102.91193307688025,-102.8673681532268,-102.92116802976416,-102.9248145166658,-102.97333123536023,-103.01859748943296,-103.01779510091028,-103.0170427489055,-103.01633576003404,-103.0156700453431,12,-102.64432676439932,-102.52242116188428,-109.0,1.8249285948151532,-2.9478406765710283,14.791951206224242
HDOK,PLOK,17472,10,10,-94,8,11,2,33,-92.0,-92.0,-93.49329448842984,-92.99635010046994,-92.99726350011753,-94.0018197506829,-94.1694299161508,-93.85593354597,-94.76339857374047,-94.44977018016937,-94.30083296983746,-94.17857726440344,-94.4233173615238,-94.30850458311669,-94.20971264879545,-94.12374620312792,-94.1154280508424,-94.04419372444366,-93.9805899433116,-93.98172159344485,-93.92676248541126,-93.87680031934607,-93.83116091437296,-94.19232329121462,-94.18292471471044,-94.12673593299311,-94.07461713133236,-94.1163741500233,-94.2435144165546,-94.27615298058792,-94.22219901549312,-94.25446473995407,-94.20334280837986,12,-93.93700779693792,-94.12374620312792,-92.0,0.3603297500471454,2.22109632646863,5.011898190370097
