hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id
HDOK,PLOK,17472,1,1,-130,-13,9,2,33,-116,-118,-121,-118,-117,-119,-117,-116,-117,-118,-115,-119,-118,-119,-118,-116,-119,-116,-118,-117,-117,-117,-119,-119,-117,-119,-119,-118,-118,-116,-118,-119,-119,360
HDOK,PLOK,17472,2,2,-128,-11,9,2,33,-117,-118,-118,-118,-119,-118,-119,-119,-118,-119,-121,-119,-119,-118,-118,-117,-118,-118,-117,-118,-118,-118,-118,-118,-119,-117,-119,-117,-118,-118,-119,-115,-117,360
HDOK,PLOK,17472,3,3,-128,-10,9,2,33,-118,-118,-118,-118,-119,-118,-119,-118,-118,-117,-118,-118,-118,-116,-119,-118,-118,-117,-119,-119,-119,-121,-118,-119,-118,-117,-121,-117,-118,-117,-117,-121,-119,360
HDOK,PLOK,17472,4,4,-128,-12,9,2,33,-116,-118,-117,-118,-119,-117,-116,-118,-118,-117,-117,-119,-118,-117,-119,-119,-117,-119,-118,-118,-119,-119,-119,-116,-117,-118,-118,-117,-119,-118,-118,-116,-117,360
HDOK,PLOK,17472,5,5,-129,-12,9,2,33,-118,-119,-118,-118,-119,-119,-118,-113,-119,-119,-118,-118,-117,-118,-117,-118,-118,-118,-118,-118,-118,-118,-119,-119,-117,-119,-119,-116,-117,-118,-119,-119,-117,360
HDOK,PLOK,17472,6,6,-129,-12,9,2,33,-117,-119,-115,-119,-119,-119,-119,-118,-116,-119,-116,-119,-119,-118,-119,-117,-119,-115,-119,-118,-117,-109,-117,-117,-119,-121,-121,-119,-119,-118,-116,-119,-117,360
HDOK,PLOK,17472,7,7,-130,-13,9,2,33,-117,-121,-116,-118,-118,-120,-118,-118,-118,-117,-118,-119,-118,-118,-118,-117,-119,-119,-116,-119,-119,-117,-119,-118,-118,-117,-118,-116,-118,-117,-117,-117,-118,360
HDOK,PLOK,17472,8,8,-129,-12,9,2,33,-119,-119,-119,-118,-118,-117,-118,-117,-119,-119,-119,-118,-117,-119,-117,-118,-118,-119,-119,-119,-119,-118,-118,-118,-118,-118,-117,-118,-117,-119,-118,-117,-118,360
HDOK,PLOK,17472,9,9,-129,-12,9,2,33,-118,-119,-117,-118,-121,-117,-116,-119,-119,-119,-121,-119,-119,-117,-119,-119,-117,-119,-119,-117,-118,-119,-119,-118,-117,-121,-118,-118,-118,-116,-118,-116,-118,360
HDOK,PLOK,17472,10,10,-130,-13,9,2,33,-116,-118,-119,-117,-119,-118,-119,-117,-118,-119,-119,-117,-119,-121,-117,-121,-119,-118,-118,-119,-117,-121,-118,-118,-118,-121,-118,-118,-119,-117,-116,-118,-119,360
HDOK,PLOK,17472,11,11,-130,-13,9,2,33,-116,-119,-118,-118,-117,-119,-118,-117,-119,-119,-117,-119,-119,-119,-118,-118,-118,-119,-116,-118,-119,-118,-119,-117,-119,-118,-119,-117,-119,-119,-117,-119,-119,360
HDOK,PLOK,17472,12,12,-129,-12,9,2,33,-117,-117,-119,-119,-117,-119,-118,-116,-119,-117,-118,-118,-117,-118,-117,-117,-118,-116,-119,-118,-118,-117,-118,-118,-119,-116,-117,-117,-116,-118,-118,-119,-119,360
HDOK,PLOK,17472,13,13,-130,-13,9,2,33,-117,-119,-118,-119,-117,-117,-117,-118,-118,-119,-121,-117,-119,-121,-118,-118,-117,-117,-115,-119,-117,-117,-116,-118,-118,-118,-118,-121,-119,-117,-119,-117,-119,360
HDOK,PLOK,17472,14,14,-131,-14,9,2,33,-119,-117,-118,-118,-118,-117,-118,-117,-119,-119,-118,-116,-116,-118,-117,-118,-116,-117,-118,-121,-118,-119,-119,-118,-119,-119,-117,-121,-117,-118,-118,-118,-117,360
HDOK,PLOK,17472,15,15,-129,-12,9,2,33,-116,-119,-119,-118,-117,-115,-116,-119,-119,-118,-121,-118,-119,-121,-118,-117,-117,-118,-119,-118,-119,-119,-118,-118,-119,-118,-119,-119,-119,-118,-117,-119,-119,360
HDOK,PLOK,17472,16,16,-130,-13,9,2,33,-118,-119,-118,-118,-119,-118,-119,-117,-117,-117,-118,-119,-118,-119,-119,-119,-119,-119,-119,-121,-118,-119,-117,-119,-118,-121,-119,-119,-119,-117,-118,-118,-118,360
HDOK,PLOK,17472,17,17,-130,-13,9,2,33,-118,-119,-116,-119,-118,-119,-119,-119,-118,-119,-117,-118,-119,-117,-116,-118,-116,-118,-117,-119,-117,-117,-119,-118,-118,-116,-118,-119,-118,-115,-118,-117,-118,360
HDOK,PLFL,17472,18,17,-133,-16,9,2,33,-117,-119,-117,-117,-118,-119,-118,-121,-118,-117,-118,-118,-119,-116,-119,-117,-117,-116,-119,-117,-119,-119,-119,-119,-118,-118,-116,-119,-118,-118,-121,-118,-117,360
