hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id
HDOK,PLOK,17472,21,21,-88,8,9,2,33,-83,-83,-86,-82,-83,-82,-82,-83,-82,-87,-88,-83,-89,-82,-85,-83,-83,-83,-83,-84,-89,-88,-91,-88,-83,-84,-89,-84,-85,-85,-88,-93,-86,point3
HDOK,PLOK,17472,22,22,-83,8,9,2,33,-77,-77,-85,-77,-77,-77,-78,-78,-78,-78,-85,-78,-78,-78,-85,-83,-79,-79,-79,-80,-82,-81,-85,-87,-79,-79,-87,-80,-79,-80,-83,-80,-80,point3
HDOK,PLOK,17472,23,23,-81,8,9,2,33,-75,-75,-76,-76,-76,-75,-75,-75,-75,-79,-80,-75,-77,-77,-77,-76,-76,-77,-77,-79,-83,-83,-82,-80,-77,-78,-80,-77,-78,-77,-79,-80,-77,point3
HDOK,PLOK,17472,24,24,-76,8,9,2,33,-74,-73,-73,-76,-74,-73,-79,-74,-73,-73,-75,-73,-73,-74,-74,-73,-73,-75,-74,-77,-79,-81,-77,-75,-73,-76,-75,-72,-75,-73,-75,-76,-74,point3
HDOK,PLOK,17472,25,25,-77,9,9,2,33,-73,-81,-81,-73,-73,-72,-73,-73,-73,-73,-79,-73,-73,-73,-79,-74,-76,-72,-73,-73,-75,-75,-79,-81,-73,-73,-81,-73,-72,-72,-77,-75,-75,point3
HDOK,PLOK,17472,26,26,-77,9,9,2,33,-74,-75,-77,-73,-73,-73,-73,-73,-73,-82,-81,-73,-76,-73,-76,-74,-73,-74,-73,-75,-81,-77,-81,-79,-73,-73,-79,-73,-74,-73,-79,-77,-81,point3
HDOK,PLOK,17472,27,27,-77,8,9,2,33,-74,-74,-76,-73,-74,-73,-73,-74,-73,-73,-79,-73,-73,-73,-76,-73,-73,-74,-73,-75,-81,-79,-81,-77,-73,-74,-77,-73,-74,-73,-76,-75,-73,point3
HDOK,PLOK,17472,28,28,-76,9,9,2,33,-74,-73,-74,-74,-76,-74,-74,-73,-75,-73,-74,-73,-73,-75,-74,-73,-73,-79,-76,-79,-75,-79,-75,-74,-82,-79,-74,-73,-77,-74,-74,-75,-73,point3
HDOK,PLOK,17472,29,29,-77,9,9,2,33,-74,-74,-74,-79,-75,-73,-73,-73,-73,-74,-75,-73,-73,-74,-74,-73,-73,-76,-74,-77,-77,-81,-76,-75,-74,-76,-75,-73,-76,-74,-74,-73,-76,point3
HDOK,PLOK,17472,30,30,-75,8,9,2,33,-74,-74,-75,-74,-77,-75,-74,-73,-79,-73,-74,-73,-73,-76,-73,-72,-74,-79,-76,-81,-74,-76,-73,-72,-77,-79,-72,-79,-79,-71,-72,-71,-71,point3
HDOK,PLOK,17472,31,31,-79,6,9,2,33,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-77,-75,-76,-75,-75,-75,-75,-76,-75,-77,-81,-81,-79,-77,-75,-77,-77,-75,-76,-75,-76,-75,-76,point3
HDOK,PLOK,17472,32,32,-79,9,9,2,33,-76,-81,-83,-76,-76,-76,-76,-77,-76,-76,-83,-76,-77,-76,-81,-77,-77,-76,-76,-77,-81,-79,-83,-83,-76,-76,-83,-76,-76,-76,-82,-77,-77,point3
