feature,x,y
[-0.70801613 -0.83552272 -0.8036205   0.29660279],13.653,11.075347826086958
[-0.70906874 -0.83452266 -0.80339173  0.29980087],13.653,11.916739130434783
[-0.71011133 -0.83348539 -0.80311271  0.30323208],13.653,12.758130434782608
[-0.71112047 -0.83241717 -0.8027737   0.30687085],13.653,13.599521739130434
[-0.7120725  -0.83132343 -0.80236352  0.31069888],13.653,14.440913043478261
[-0.71294371 -0.83020879 -0.80186973  0.31470455],13.653,15.282304347826088
[-0.713711   -0.82907714 -0.80127935  0.31888188],13.653,16.123695652173915
[-0.70752234 -0.83533028 -0.80343656  0.29565572],14.52113043478261,11.075347826086958
[-0.70868319 -0.83429973 -0.80325112  0.29895985],14.52113043478261,11.916739130434783
[-0.70983509 -0.83323375 -0.80301867  0.30248213],14.52113043478261,12.758130434782608
[-0.7109525  -0.83213927 -0.80272865  0.30619416],14.52113043478261,13.599521739130434
[-0.71200922 -0.83102214 -0.80236838  0.31007701],14.52113043478261,14.440913043478261
[-0.71297822 -0.82988731 -0.80192312  0.31412018],14.52113043478261,15.282304347826088
[-0.71383211 -0.82873896 -0.80137672  0.31832012],14.52113043478261,16.123695652173915
[-0.70698286 -0.83507351 -0.803169    0.29498505],15.389260869565218,11.075347826086958
[-0.70825923 -0.83400755 -0.80302748  0.29841561],15.389260869565218,11.916739130434783
[-0.70952775 -0.83290877 -0.8028435   0.30204208],15.389260869565218,12.758130434782608
[-0.71076139 -0.83178453 -0.80260595  0.3058341 ],15.389260869565218,13.599521739130434
[-0.71193197 -0.83064093 -0.80230076  0.30977317],15.389260869565218,14.440913043478261
[-0.71300916 -0.8294831  -0.80191074  0.31385103],15.389260869565218,15.282304347826088
[-0.70918578 -0.83250383 -0.80257555  0.30196483],16.257391304347827,12.758130434782608
[-0.71054187 -0.83134685 -0.80239337  0.30584074],16.257391304347827,13.599521739130434
[-0.71183471 -0.83017416 -0.80214864  0.30983407],16.257391304347827,14.440913043478261
[-0.5872253  -0.6255931  -0.58017455  0.87539175],16.257391304347827,63.241608695652175
[-0.58263685 -0.62099129 -0.5746671   0.88281495],16.257391304347827,64.083
[-0.59231937 -0.62912389 -0.58592329  0.86624889],17.125521739130434,62.400217391304345
[-0.58753526 -0.62412646 -0.58002187  0.87471949],17.125521739130434,63.241608695652175
[-0.58298149 -0.61952543 -0.57455922  0.88196912],17.125521739130434,64.083
[-0.59712873 -0.63290876 -0.59159162  0.85674284],17.993652173913045,61.55882608695652
[-0.59234934 -0.62757574 -0.58550112  0.86589473],17.993652173913045,62.400217391304345
[-0.58769749 -0.62256738 -0.57971991  0.87412671],17.993652173913045,63.241608695652175
[-0.58316775 -0.61794959 -0.57428164  0.88127242],17.993652173913045,64.083
[-0.59678107 -0.63135013 -0.59086179  0.8565836 ],18.861782608695652,61.55882608695652
[-0.59219275 -0.62596974 -0.5849185   0.86554218],18.861782608695652,62.400217391304345
[-0.58768564 -0.62091241 -0.57924478  0.87363863],18.861782608695652,63.241608695652175
[-0.58319018 -0.61626259 -0.57382976  0.88072352],18.861782608695652,64.083
[-0.59615014 -0.62978911 -0.58992291  0.85634933],19.729913043478263,61.55882608695652
[-0.59178167 -0.62432387 -0.58412795  0.86520359],19.729913043478263,62.400217391304345
[-0.58747073 -0.61916914 -0.57857654  0.87325588],19.729913043478263,63.241608695652175
[-0.58304426 -0.61446353 -0.57319979  0.88032114],19.729913043478263,64.083
